What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Nothing,Select---,His presence is not that pressuring letting students breath and be honest with their opinions about subject matters,Select---,Nothing,Select---,Always all ears for students and considerate at most time,Select---
None,Select---,i like the way he communicates and evaluate the given lesson to his students,Select---,None,Select---,None,Select---
Availability of computer in lab,Select---,Gives a current trend examples,Select---,Nothing,Select---,Nothing,Select---
Nothing,Select---,He would teach in a step by step manner when it comes to coding which helps some of the students that are not that yet good at it,Select---,Nothing,Select---,Nothing,Select---
nothing,Select---,lessons related to real life usage,Select---,nothing,Select---,thank you sir,Select---
Nothing,Select---,She's informative about our schedules on which if we're gonna have the quizzes or just lectures,Select---,Nothing,Select---,Nothing,Select---
Computer availability,Select---,Gives time to finish works and fix problems,Select---,Nothing,Select---,Nothing,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
Nothing,Select---,"He's very good at teaching and has many methods of teaching to make students understand the lesson, sir is also all ears and kind to his students making it easier for us to breath and give our opinions with matters regarding his subjects ",Select---,Sir is too fast and advance at teaching my brain can't keep up,Select---,Sir is one of the best profs I know in our department and is doing his job excellently,Select---
N,Select---,consistent,Select---,N,Select---,N,Select---
More time during class,Select---,All ways on time,Select---,Rely on presentation,Select---,Nothing,Select---
N,Select---,Will help immediately,Select---,Teaching was too fast,Select---,N,Select---
None,Select---,He takes his time teaching,Select---,Sometimes it's not clear,Select---,None,Select---
Computer availability,Select---,The activity he gives,Select---,Sometimes does not come to class,Select---,Nothing,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
None,Select---,Always announce any class update,Select---,Sometimes late,Select---,None,Select---
None,Select---,Projects with guide,Select---,None,Select---,None,Select---
I don't have any recommendation at all,Select---,I like that I really learned so many things in this course because our instructor is really good,Select---,Nothing,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Good at teaching elective and knowledgeable about the subject,Select---,None,Select---,None,Select---
none,Select---,"The instructor discusses all the lessons in the syllabus, listens to student opinions, and always asks if we understand the lesson before proceeding to the next topic.",Select---,"I like the instructor's teaching style, but I sometimes dislike their strictness about time.",Select---,none,Select---
I think to meet during lectures,Select---,I like best are when he teach with corresponding activity to check if the student understands the lesson. And also he wants everyone to participate when it comes to question and answer during the lecture. Sir Jason is approachable too when you have questions regarding the subjects and its activities,Select---,I dont knowww,Select---,Nothing,Select---
Cr sir sa boys,Select---,The way he delivers the lecture,Select---,Nalalate si sir hahaha,Select---,N/a,Select---
None,Select---,I like about sir ceed is that when he explain well the lesson and give examples beyond the lesson so that we can understand it more. Giving us activities during lab and teach us when we kinda messed up,Select---,None,Select---,None,Select---
none,Select---,"The instructor engages her students through an interactive teaching style that encourages participation. Throughout the lessons, she frequently ask questions and invites students to share their thoughts and ideas. And this is what I like best with ma'am teaching.",Select---,none.,Select---,none,Select---
None,Select---,She explains the lesson and give some examples that is connected to the lecture and also to real life.,Select---,I think reading the lesson most of the time Although she explains some further.,Select---,None,Select---
subject must be explain further and relate to real life situations related in our fields,Select---,giving us extensions of submitting projects and the way he gives us activities to work on everytime we have new discussions,Select---,late cancelling of meetings,Select---,none,Select---
I don't know,Select---,Explain the lecture with examples that is related to real world activity,Select---,Read the lesson in ppt,Select---,None,Select---
subject needs to be explain and give task related to real-world scenarios.,Select---,he able to answer our questions well and explain those what confuses us about the lessons,Select---,explaining too fast,Select---,none,Select---
none,Select---,"The instructor delivers lessons with clarity and precision, ensuring that each concept is communicated in a straightforward manner. This approach allows us to easily understand the lesson.  ",Select---,"I don't have a problem with the instructor's teaching; however, due to his busy schedule, we could not cover some of our remaining lessons, which has left me feeling a bit disappointed. ",Select---,none,Select---
be present in all things,Select---,she makes sure that everyone learn the topic,Select---,random oral😭,Select---,na,Select---
NONE,Select---,His style of teaching,Select---,none,Select---,none,Select---
I would suggest incorporating more group activities and providing more guided research opportunities to help us explore and learn more effectively.,Select---,"What I appreciate about ma'am Justin is that she creates a light and welcoming atmosphere in class. The environment feel relaxed and conducive to learning, which makes the lessons more enjoyable and less overwhelming. ",Select---,What I find challenging about [PROFESSOR] class is that her instructions n sometimes be unclear and confusing. This often leads to difficulties for me and my classmates in understanding what we need to be done.,Select---,Nothing more,Select---
none,Select---,His mastery of the course,Select---,none,Select---,none,Select---
I would like to see more engaging lessons and interactive activities in class,Select---,I appreciate that sir show up to class sometimes,Select---,"What I find difficult about sir's teaching us that he doesn't communicate clearly with us about what we should dmor shouldn't do. His instructions are often unclear, and it's challenging that we can't approach him for guidance or advice.",Select---,Nothing more,Select---
none,Select---,His ability to go in class on time and his mastery of the course,Select---,none,Select---,none,Select---
Precise and easy to understand teaching,Select---,prepared ppts,Select---,"low tone voice, hard to understand sometimes",Select---,n/a,Select---
NONE,Select---,He assesses each student and teach them the part where they are having a hard time with.,Select---,none,Select---,none,Select---
Nothing,Select---,Clean ppts and easy to learn,Select---,nothing,Select---,-,Select---
none,Select---,Her ability to make everyone listen to her discussions,Select---,none,Select---,none,Select---
-,Select---,-,Select---,-,Select---,-,Select---
-,Select---,-,Select---,-,Select---,-,Select---
"if possible, a physical application of lesson for the laboratory. could be mixed with emulator such as packet tracer.",Select---,Answers the questions of students even if its complicated and tries to give real life examples.,Select---,"A little bit fast on teaching, might trouble those slow learners.",Select---,none,Select---
N/A,Select---,His teaching are great,Select---,N/A,Select---,N/A,Select---
nothing,Select---,being clear with everything,Select---,idk,Select---,nothing,Select---
"to be honest, the prof teaches so fast and some students can't keep up.",Select---,idk,Select---,the prof knows how to teach but it's just too fast.,Select---,nothing,Select---
N/A,Select---,His teaching is great and its easy for me as a student to understand and learn this subject,Select---,N/A,Select---,N/A,Select---
None,Select---,None,Select---,All of it,Select---,None,Select---
None,Select---,All of it,Select---,None,Select---,None,Select---
None,Select---,All of it,Select---,None,Select---,None,Select---
show more examples on updated examples,Select---,how strict but good at teaching,Select---,strict,Select---,none,Select---
show more examples on current problems and trends for this course,Select---,being polite and good teaching,Select---,none,Select---,none,Select---
show more examples on current trends and problem for this course,Select---,polite and good at teaching,Select---,none,Select---,none,Select---
The attendance of the professor is not consistent.,Select---,Sharing current real world and past relevant information related to the subject.,Select---,Teaches the lesson with a demonstration.,Select---,"The teacher did not teach everything about the subject due to inconsistent class attendance. But when we meet, the professor displays mastery of the subject but sometimes relies too much on what is on the displayed on the presentation screen. Since the subject is about web developing, actual coding during class should always happen so that student can adapt what is being taught and the teacher could assess the student's progress.",Select---
Nothing,Select---,Calm,Select---,Nothing,Select---,None,Select---
Nothing,Select---,Nothing,Select---,Nothing,Select---,None,Select---
To be more precise and clear,Select---,Chill,Select---,Speaking lowly,Select---,non,Select---
More on hands on activity rather than just theory.,Select---,None,Select---,Lack of teaching strategies.,Select---,More hands on like coding or something.,Select---
Attendance of the teacher.,Select---,Straightforward,Select---,"Too much on computer visual aids, and less on demonstration or hands on coding.",Select---,More hands on,Select---
More demonstration on the coding part. And as well as comprehensive guide.,Select---,Straightforward and easy to understand. (Provides examples),Select---,What I like the least was that it just lack on hands on practice probably due to a very little class discussion or meeting.,Select---,"More discussions, and hands on practices coding and guided learning.",Select---
"More hands on practices, real-life projects and guided learning.",Select---,Straightforward and easy to follow.,Select---,NA probably due to lack of meeting days.,Select---,"More hands on practices, real-life projects, guide students comprehensively in learning as some student are not used to self-study and would require the assistance of the professor.",Select---
"The prof is really good at explaining and demonstrate his skills and knowledge towards this course but, his attendance is the problem. Other than that, I have no further suggestions.",Select---,He's good at demonstrating and explaining the concepts.,Select---,He just rarely show up in class due to conflict in his schedule.,Select---,Attend more classes.,Select---
NA,Select---,answering questions that were asked by the students,Select---,NA,Select---,NA,Select---
NA,Select---,answering questions that were asked by the students,Select---,NA,Select---,NA,Select---
more group activities and not just discussion by our instructor.,Select---,he is giving real life examples when explaining the topics.,Select---,"sometimes the lessons he's explaining are too much, like the information are not processing in our brain anymore.",Select---,none,Select---
"Include other elective options, not just smart cities, students would like to pick other options beside it",Select---,N/A,Select---,N/A,Select---,N/A,Select---
more practical activities because I enjoyed the activities that were given to us by our instructor even though its not that easy.,Select---,the lab activities because shows what are the things we learned during the lectures session. And also our instructor is explaining our lessons based on real life example wherein sometimes he is sharing his experiences.,Select---,"when it comes to the lectures, I am overwhelmed by the number of files he is sending in our group chat. But its not really an issue though, it's just like a one time sending so that's it.",Select---,none,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
N/A,Select---,N/A,Select---,N/A,Select---,N/A,Select---
"The structure of the quizzes and exams feels exaggerated. Some questions are unnecessarily tough, even though simpler answers would work. It’s like you’re expected to memorize everything word for word from the provided file.",Select---,He responds to questions and not only reads the presentations but also explains them in a way that's easy to understand.,Select---,The way sometimes he just reads it the presentation entirely.,Select---,"I'm hoping he could loosen up a bit when it comes to quizzes. They're unnecessary, even though I like the topic, but the answers to his questions often come from unexpected places.",Select---
How about making the learning experience more interactive? She just reads her PPT and it's been a cycle.,Select---,Her listening to our explanations and considering our work in projects.,Select---,Reading the PPT with little to none explanations,Select---,N/A,Select---
None,Select---,"A lot, especially because I really like how the atmosphere in the class is never heavy. It feels easy to learn in, which makes his class one of my favorites—chill, fun, and full of learning.",Select---,"None. Well, his time was originally meant only for the lab, so we're really thankful that he takes the time to lecture with us and trusts our ability to learn through it.",Select---,N/A,Select---
I don't have any recommendation at all.,Select---,Everything.,Select---,I don't have any,Select---,None,Select---
I don't have any recommendation,Select---,He is jolly when teaching,Select---,Nothing,Select---,None,Select---
N/A,Select---,His teaching is great and easy to understand,Select---,N/A,Select---,N/A,Select---
His topics are somewhat outdated and completely unrelated to what he expects us to produce in our projects. It would be nice if he updated his codes or references to more modern and simplified versions.,Select---,"He's a chill professor, and he does provide valuable insights about our projects.",Select---,"Some of his topics are outdated and not very useful for our projects, yet he expects far better results than what his provided resources can support.",Select---,"I feel like our final projects were overlooked or unnoticed. I understand he's a busy person, but I hope he can give more proper attention to his students and their concerns.",Select---
N/A,Select---,The way he comprehensively explains things and tackled lessons even from the past course for us to catch up back,Select---,"Sometimes the time is really short, so he has to rush through it.",Select---,Just a comment—sayang we didn’t have enough time to cover more of the lessons the course has to offer,Select---
n/a,Select---,clear explanations,Select---,low voice (sometimes),Select---,keep up the good work sir! thank you.,Select---
Everything good and great,Select---,I liked how interactive his teaching was. He had a great method that made learning easier and more engaging,Select---,Nothing,Select---,Nothing,Select---
Nothing,Select---,"What i liked best about my teacher is that he teaches in a clear and understandable way, always giving instructions clearly. He's also very considerate and easy to get along with, which makes learning more comfortable and enjoyable. Most of all, they showed that they cared about how well we are learning, not just about finishing the lesson.",Select---,Nothing,Select---,None,Select---
none,Select---,Personality and way of teaching,Select---,Recitations,Select---,None,Select---
N/A,Select---,hands on experience,Select---,N/A,Select---,None,Select---
Probably more time for student to really process the lectures and not be pressured in some way.,Select---,Every lecture time and laboratory time lecture materials was well prepared and discussed to the class which made the subject engaging and enjoyable despite being one of the hardest subject of this course.,Select---,Discusses things quite well and clear yet fast at the same time.,Select---,Not that I don’t like it that much but at laboratory time I get quite pressured because most of the time I’m just like loading in a sense that I cannot process everything what the professor is discussing in front  because sometimes our prof discusses things quite fast which is harder for me to keep up. (More like a me problemXD),Select---
None,Select---,His vibe and approachable atmosphere,Select---,His atmosphere,Select---,Best teacher so far,Select---
Nothing much.,Select---,"Our professor discusses the materials brief, clear and concise which was very nice of him. I did not have any trouble adjusting in this class.",Select---,We had few face to face meetings only.,Select---,"We did not get to meet our professor frequently in school which was kind of a bum because it was one of the fun and entertaining subjects for me personally, but understandable enough because of other responsibilities in life. See you around Sir! ",Select---
I think the teacher could explain more in depth about the topic. More on real life examples and stuff.,Select---,"the teacher gave us activities to apply what we learned, which helped me practice and understand.",Select---,Sometimes the activities were a bit complex or not fully explained in the lesson.,Select---,the activities are helpful but sometimes they feel a little too complex for what we covered. It would help if the teacher explained all the fundamentals or necessities.,Select---
The instructor should be able to meet most scheduled classes.,Select---,His clearness and directness in teaching.,Select---,His inability to meet the class in most scheduled days.,Select---,Instructor should be able to meet the class most of the time. The instructor's frequent absences has gotten to the point that even other instructors are aware of his lack of attendances to classes.,Select---
Much more explanation to each part of the documentation and development to fully understand the flow and to output correct information.,Select---,Being approachable and friendly to students and help relate based on his experience,Select---,Sometimes does not respond to the questions asked by students regarding to the course,Select---,None,Select---
There is nothing I would recommend to improve regarding this course. The professor delivered the material with clarity and effectiveness and I gained a lot of knowledge both from his instruction and the course.,Select---,"Everything he taught us was aligned with current industry best practices and focused on the skills we need to develop. Notably, he introduced us to GitHub game changing tool that had not been covered in our previous courses.",Select---,Nothing at all,Select---,"I would suggest incorporating GitHub into the curriculum at an earlier stage, as it is a very important tool in modern software development. Early exposure would allow students to develop version control habits and collaborative coding skills sooner, better preparing them for industry standards and real-world projects.",Select---
Maybe have a little more time for students to adjust with the procedural type of learning (specially when using CMD and not UI),Select---,I like how every discussion was done so organized and thorough for the class.,Select---,When everything is compiled using only the CMDTvT,Select---," Just another me problem.. I’m personally having a hard time understanding how it works, truly (sorry ma’amTvT See you around po!)",Select---
None. All is perfect.,Select---,"Professional, social and understanding.",Select---,None.,Select---,None.,Select---
none,Select---,none,Select---,none,Select---,non,Select---
Nothing much (all is well),Select---,Our instructor makes the subject effortlessly fun and engaging which was interesting and which I am thankful for.,Select---,"No, nothing – none.",Select---,Keep the lively mood [PROFESSOR]! We’ll see you around and Godbless! <3,Select---
"To further elaborate the lesson especially on the documentation as this help understand what system we are making, and to give clear statements regarding the lectures he teach",Select---,Help relate to his experience on this course and gives time to finish the activities he gives.,Select---,Sometimes will response to our question that we will be the one to find it especially on some parts that we are not familiar with,Select---,None,Select---
None,Select---,"Gives ppt, examples and discuss",Select---,None,Select---,None,Select---
I highly recommend to have a more interactive and thorough discussion in order to help students become more comfortable and confident in class.,Select---,Materials such as digital books are provided for us to use which makes the learning process convenient.,Select---,The speedy discussion and tight time limit during quizzes.,Select---,"Regardless of what I suggested above, I also have a problem of my own in understanding things which made my INC grade makes sense therefore I will try to improve myself too for the next school year. (Thank you for understanding and effort ma’am! See you when we’ll work on our INC remarksXD)",Select---
None,Select---,Explain lessons with his experience,Select---,None,Select---,None,Select---
None,Select---,Explain everything in detail with examples,Select---,None,Select---,None,Select---
"Elaborate further the lesson especially the flow of every function, and to demonstrate while explaining how fragments of the lesson works",Select---,Being responsive on feedbacks and help test our abilities if we learned about the course,Select---,Still lacks on explanation and demonstration,Select---,Bit late on class sometimes but will respond.,Select---
None,Select---,"Explains, give examples and some fun activities",Select---,None,Select---,None,Select---
"Nothing, really. Sir Ceed is already doing great! (Goated Master)",Select---,"The comfortable, interesting, fun, engaging and passionate way of teaching the course, the passion and dedication to the course and program was so evident that it made the learning process fun all throughout the 2nd semester. ",Select---,"No, nothing – none. (2)",Select---,"I just want to say thank you so much for your efforts, patience and encouragement every time, Sir! Hoping we would improve more along the journey (even just like half of a half of your knowledge). See you around po!",Select---
More examples,Select---,Give us enough time for activities,Select---,Discuss too fast.,Select---,None,Select---
N/A,Select---,Engaging in smooth discussions enabling students to communicate properly,Select---,N/A,Select---,N/A,Select---
None,Select---,Explain or discuss everything with examples,Select---,None,Select---,None,Select---
NOne,Select---,Clear explanation,Select---,none,Select---,none,Select---
Using up-to-date web stacks/frameworks to be more efficient,Select---,Proper Implementation,Select---,N/A,Select---,N/A,Select---
None,Select---,"He always demonstrates and tackles the topics very well, and what I like about Sir Ceed is that he is very considerate of his students which makes him a good instructor.",Select---,None,Select---,None,Select---
None so far,Select---,Giving a concise understanding about the subject,Select---,Nothing at all.,Select---,None,Select---
None so far.,Select---,Giving good insights about the subject.,Select---,Nothing at all.,Select---,None.,Select---
"BE MORE STRICT AND VIGILANT NEXT TIME, BAKA MAULIT NA NAMAN YUNG PAG LEAK NG ANSWERS FROM ANOTHER SECTION VICE VERSA AND PAG INSERT NG USB SECRETLY WHILE LAB ACTIVITY OR EXAM TO CHEAT",Select---,NICE,Select---,NICE,Select---,(THE SAME ON THE ADVANCE DATABASE LECTURE) MARAMI PA RIN NAG CHECHEAT SA BOOKLET (MAY ANSWERS NA AGAD SA LIKOD NG BOOKLET GALING SA IBANG SECTIONS)),Select---
"Nothing, because she teaches very well",Select---,She teaches very well and explain the lessons very clearly,Select---,Nothing,Select---,Nothing,Select---
Instruct new students on what to expect from the course in the next 4 years (e.g. the new syllabus),Select---,None,Select---,None,Select---,None,Select---
maybe a step by step tutorial will do,Select---,so kind and understanding,Select---,none,Select---,none,Select---
None,Select---,"I like the way the instructor teaches because he explains lessons that are truly useful in the IT industry, especially those that are actually used by developers.",Select---,None,Select---,None,Select---
Nothing,Select---,He was engaging and fun,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
n/a,Select---,hands-on,Select---,n/a,Select---,n/a,Select---
n/a,Select---,n/a,Select---,n/a,Select---,n/a,Select---
N/A,Select---,"His ability to explain complex topics with such clarity, combined with his genuine patience.",Select---,N/A,Select---,N/A,Select---
N/A,Select---,"""I appreciate how she gets straight to the point when explaining topics.",Select---,N/A,Select---,N/A,Select---
N/A,Select---,He explains the topics or context well and concise.,Select---,N/A,Select---,N/A,Select---
N/A,Select---,The way he explains the topics,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Being straightforward in explaining topics,Select---,N/A,Select---,N/A,Select---
N/A,Select---,The way he teaches is very approachable and easy to follow,Select---,N/A,Select---,N/A,Select---
None,Select---,letting us use the computers,Select---,none,Select---,none,Select---
None,Select---,Can explain in simple terms,Select---,Seeing him eating inside the room. I envy him for eating inside the room.,Select---,None,Select---
Nothing,Select---,The hands on demos,Select---,Nothing at all,Select---,No,Select---
nothing,Select---,the type how he teach  particularly the handsom,Select---,nothing,Select---,nothing,Select---
Nothing,Select---,He is approachable,Select---,N/A,Select---,N/A,Select---
I think mainly just proper feedback would be a small yet effective change to help improve this course,Select---,She did provide learning materials for us to reference to when doing our projects,Select---,"Feedback from the instructor(s) would be great because when I receive my scores from projects or lab exams, I would like to know where I went wrong and how I can correct my mistakes so I could avoid it in future projects",Select---,None,Select---
Everything is good,Select---,Being practical and knowledgeable,Select---,N/A,Select---,N/A,Select---
"the meeting time, because sometimes class time moves to a class that isn't ours..",Select---,The broad knowledge he have and he shared it to the students.Then the patience of teaching.,Select---,Nothing,Select---,None,Select---
So far none,Select---,I liked how sir explained complex topics in a simple and organized way that helped me understand better the topic.,Select---,So far none.,Select---,None,Select---
None,Select---,He demonstrates well in the class and he explains the lesson in a way so I can easily understand,Select---,None,Select---,None,Select---
Nothing,Select---,Nothing,Select---,Nothing,Select---,Nothing at all,Select---
More Class Hours,Select---,The Projects She gives,Select---,Teaching Style,Select---,Not at all,Select---
nothing,Select---,relevance to the topic,Select---,nothing,Select---,thank you sir,Select---
None,Select---,He is so understanding and helpful and encouraging,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,He is very understanding and very patient ❤️,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Making the class interactive and his consideration to his students is outstanding,Select---,None,Select---,None,Select---
None,Select---,Chill,Select---,None,Select---,None,Select---
None,Select---,Understanding,Select---,None,Select---,None,Select---
None,Select---,Attends to students concern regarding the lesson,Select---,None,Select---,None,Select---
None,Select---,The energy and interactiveness,Select---,None,Select---,None,Select---
None,Select---,Giving us a huge span of time to sumbit our homeworks,Select---,Face paced teaching,Select---,None,Select---
None,Select---,Teaching skills are outstanding,Select---,None,Select---,None,Select---
None,Select---,Full of fun exercises,Select---,None,Select---,None,Select---
None,Select---,"Teaching skills are outstanding, Sir jason is very considerate and attends to students concern regarding the lesson.",Select---,None,Select---,(Good day! This is my final evaluation po for [PROFESSOR]),Select---
Supervised programming,Select---,Online,Select---,Online,Select---,No,Select---
None,Select---,On how he clearly explain each of the lessons,Select---,None,Select---,None,Select---
None,Select---,Soft spoken,Select---,None,Select---,Nonr,Select---
None,Select---,On how he teaches us clearly,Select---,None,Select---,None,Select---
Nothing much this is the best,Select---,On hand acrivities,Select---,N/A,Select---,N/A,Select---
None,Select---,On how he teaches the lesson clearly,Select---,None,Select---,None,Select---
I hope that we're given enough time,Select---,Gives us enough time for activities,Select---,She's fast paced,Select---,None,Select---
None,Select---,The way she teaches and helps us understand each lesson,Select---,None,Select---,None,Select---
None,Select---,Very kind and approachable,Select---,None,Select---,None,Select---
None,Select---,The way he explains clearly the lesson to us,Select---,None,Select---,None,Select---
More understandable terms in discussion.,Select---,Very cheerful and discuss with love,Select---,None,Select---,None,Select---
"Not just read the ppt and explains it 
Also teach us coding instead of making us self study and expect us to be good at it if they didn't teach us anything ",Select---,Nothing,Select---,"Everything 
The test is hard as in even you stayed up late to study you can't answer because the questions are just hard, the teaching is just reading the ppt and expect us to understand it and lastly giving us task and projects expecting us to do good without teaching us properly ",Select---,I hope someday he'll teach his students properly,Select---
N/A,Select---,Time flexibility,Select---,N/A,Select---,N/A,Select---
None,Select---,Open for feedbacks and always response to questions,Select---,None,Select---,None,Select---
N/A,Select---,Demonstration and the ability to make things simplified,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Straightforward,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Straightforward,Select---,N/A,Select---,N/A,Select---
nothing,Select---,the hands on,Select---,nothing,Select---,nothing,Select---
About time management,Select---,The vibe and the way he teaches us.,Select---,None,Select---,He's one of the best instructors.,Select---
N/A,Select---,Attentive and straightforward,Select---,N/A,Select---,N/A,Select---
N/A,Select---,answering the questions asked by the students,Select---,N/A,Select---,none,Select---
N/A,Select---,Straightforward,Select---,N/A,Select---,N/A,Select---
none,Select---,none,Select---,none,Select---,none,Select---
N/A,Select---,Funny and attentive,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Thoughtful and straightforward,Select---,N/A,Select---,N/A,Select---
N/A,Select---,Attentive,Select---,N/A,Select---,N/A,Select---
none,Select---,teaching techniques,Select---,none,Select---,none,Select---
N/A,Select---,Practical and Knowledgeable,Select---,N/A,Select---,N/A,Select---
none,Select---,way of teaching,Select---,none,Select---,none,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
Nothing,Select---,Easy to learn,Select---,Very specific,Select---,Nothing,Select---
None,Select---,Very helpful in teaching,Select---,None,Select---,None,Select---
None,Select---,Our instructor knows the lesson very well and discusses each topic clearly.,Select---,None,Select---,None,Select---
Make IT Elective 1 intoduce the fundamentals of frontend development so the IT elective wont be a cramming of project implementation.,Select---,Being generous towards project evaluation,Select---,"Teaching very fast as if we've learned already the fundamentals, I(we) can't caught up to the topic unless we self study",Select---,N/A,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,Genuine with teaching,Select---,None,Select---,None,Select---
None,Select---,He explained it clearly,Select---,None,Select---,None,Select---
None,Select---,Subject mastery,Select---,None,Select---,None,Select---
None,Select---,Genuine with teaching,Select---,None,Select---,None,Select---
None,Select---,He taught us clearly,Select---,None,Select---,None,Select---
None,Select---,Subject mastery,Select---,None,Select---,None,Select---
None,Select---,Genuine with teaching,Select---,None,Select---,None,Select---
None,Select---,The expertise and patience .,Select---,None,Select---,None,Select---
None,Select---,Subject mastery,Select---,None,Select---,None,Select---
None,Select---,Genuine with teaching,Select---,None,Select---,None,Select---
None,Select---,The expertise,Select---,None,Select---,None,Select---
None,Select---,Teacher's the necessary things to learn.,Select---,None,Select---,None,Select---
None,Select---,The patience,Select---,None,Select---,None,Select---
None,Select---,Subject mastery,Select---,None,Select---,None,Select---
None,Select---,Teacher's the necessary things to learn.,Select---,None,Select---,None,Select---
None,Select---,The patience,Select---,None,Select---,None,Select---
None,Select---,Teacher's the necessary things to learn.,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,The expertise,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
n/a,Select---,his understanding of his own students,Select---,n/a,Select---,n/a,Select---
better teacher-student interaction,Select---,nothing particularly,Select---,"menacing vibe, makes it hard for us to ask questions and inquiries related to the lessons in fear of being scolded",Select---,no,Select---
N/A,Select---,enthusiasm,Select---,lack of communication through social media,Select---,N/A,Select---
N/A,Select---,interactive,Select---,N/A,Select---,N/A,Select---
N/A,Select---,knowledgable,Select---,N/A,Select---,N/A,Select---
N/A,Select---,supportive,Select---,N/A,Select---,N/A,Select---
N/A,Select---,enthusiastic,Select---,N/A,Select---,N/A,Select---
N/A,Select---,entertaining,Select---,N/A,Select---,N/A,Select---
None,Select---,The straight to the point teaching,Select---,None,Select---,None,Select---
None,Select---,"The teaching is the best, the GOATEST of them all",Select---,None,Select---,The GOAT,Select---
More guidance,Select---,The hands on approach,Select---,None,Select---,None,Select---
"Make the sub a bit easier to understand, its hard",Select---,"The GOAT as well,",Select---,The GOAT,Select---,None,Select---
None,Select---,the hands off approach,Select---,Nkne,Select---,None,Select---
Extend the tour,Select---,We can go out at night,Select---,None,Select---,Extend the tour like more company,Select---
More time ig,Select---,The tour,Select---,None,Select---,More time ig,Select---
Extended company tour,Select---,Ate veron the best also pokemkn,Select---,Nkne,Select---,Time,Select---
More time pls to make memories,Select---,The buddy buddy,Select---,Nine,Select---,None,Select---
N/A,Select---,enthusiasm,Select---,N/A,Select---,N/A,Select---
None,Select---,Style,Select---,Bone,Select---,None,Select---
None,Select---,Not boring,Select---,None,Select---,None,Select---
None,Select---,Not boring,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,giving advices on what needs to done,Select---,none,Select---,none,Select---
none,Select---,on how to make a proper thesis,Select---,none,Select---,none,Select---
none,Select---,guiding students in their lab activities,Select---,nons,Select---,none,Select---
none,Select---,guiding students with their activities,Select---,none,Select---,none,Select---
none,Select---,none,Select---,not showing up,Select---,none,Select---
none,Select---,explaining every activity,Select---,none,Select---,none,Select---
none,Select---,explaining every activity,Select---,none,Select---,none,Select---
none,Select---,improving our design on ui/ux,Select---,none,Select---,none,Select---
N/A,Select---,Approachable and Engaging,Select---,N/A,Select---,N/A,Select---
None,Select---,"Explains clearly, always encourages students, give advices",Select---,None,Select---,None,Select---
I think the course is already good as it is,Select---,[PROFESSOR] explanation on the topics is so through and very easy to understand,Select---,Assignments?,Select---,Sir Ceed is a very nice person,Select---
more detailed discussion about each specific topic,Select---,fluently delivered the explanation on the subject,Select---,none,Select---,none,Select---
none,Select---,explains the topic well,Select---,none,Select---,none,Select---
N/A,Select---,The way of relating real life scenario to the real life application of the topics,Select---,None,Select---,"Overall, the experience while in the class was  worth it ",Select---
"The course itself is already hard enough, so it would be nice if the instructors were approachable during office hours and open for feedback because it's so hard to keep making the system with the instructors throwing new deliverables near the deadline without responding to prior queries that might help clarify things to students. Also, dissemination of information is almost non-existent and inefficient since the professors relay information differently to different people, causing confusion.",Select---,"Nothing, since they didn't teach us anything.",Select---,"It's not about the instructor's teaching, but she is very unprofessional during every defense. For every defense that the students go through, it is very demoralizing and unmotivating to receive that kind of treatment during the defense. As students, we are doing our best and take pride in every project we do, especially in SE but it has become a demoralizing experience every time we do our defense because of the panelists, since some of them, including the instructor, aren't taking the defense seriously, like as if there's no one presenting in front.",Select---,"A more respectful and encouraging environment would make a big difference for students taking the course. Since students are doing their best and the course is one of the crucial points for students, it would be appropriate to be at least professional and respectful during defense, providing constructive and focused feedback so it would motivate and at least foster a sense of growth for students, instead of discouragement.",Select---
