What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
The course is good,Satisfaction,Approachable,Satisfaction,"Nothing, the standard is met and exceeded.",Satisfaction,"None, very goods ",Satisfaction
N/A - I find the course to be well-designed and effective as it is. No changes are necessary.,Satisfaction,Hands on activity,Satisfaction,Nothing cause i like it all,Satisfaction,Thank you,Satisfaction
"I am satisfied with [PROFESSOR], teachings and i am happy with it.",Satisfaction,Giving us some activities related to what he is teaching,Satisfaction,"Honestly, I can’t really find anything to dislike—it all worked well for me.",Satisfaction,That's itt,Satisfaction
"the course itself is perfect for myself since i am still learning, for me if i have to improve something it would be myself to participate in the course",Satisfaction,Approachable,Satisfaction,"If I had to say something, maybe the lessons ended too quickly because I enjoyed them.",Satisfaction,"Nothing, it was all perfect.",Satisfaction
"None, I feel very satisfied with this course. ",Satisfaction,Questions before going to the next topic,Satisfaction,Nothing comes to mind; everything felt balanced and effective.,Satisfaction,[PROFESSOR] teach is an excellent prof..since I was first year and she was our prof for HCI 1 and 2...I can say that she was an excellent prof...,Satisfaction
"None, everything is in line, fine.",Satisfaction,Approachable,Satisfaction,The only downside was that I always wanted more time to learn from him.,Satisfaction,"The teaching method is good, and the class schedule is always followed by the teacher which lessens the possibility of having miscommunication on whether to meet for a class or not.",Satisfaction
No changes at all...the way Prof. Aida teaches is excellent,Satisfaction,interactive classes during laboratories,Satisfaction,It’s hard to think of a “least” because everything was clear and helpful.,Satisfaction,best instructor CCS has to offer for his very simplified way of teaching,Satisfaction
"I enjoyed attending this course. Therefore, there are no changes for me to recommend.",Satisfaction,"Approachable, chill and good teaching",Satisfaction,Perhaps the only issue is that class went by too fast.,Satisfaction,simple and straightforward instructor,Satisfaction
no changes,Satisfaction,Interactive teaching.,Satisfaction,I didn’t really dislike anything—it was all handled very well.,Satisfaction,chill and professional instructor,Satisfaction
"Nothing, [PROFESSOR] would do everything for us to catch up.",Satisfaction,Very professional,Satisfaction,Nothing stands out negatively; teaching style was excellent.,Satisfaction,None perfect the way he is,Satisfaction
"Nothing, it's ok.",Satisfaction,Hands on activities,Satisfaction,"If I had to choose, maybe the lectures were so engaging that breaks felt too short.",Satisfaction,The instructor went his way to provide as a great learning experience compared to other instructors. I appreciate the effort.,Satisfaction
Good course,Satisfaction,Being calm and attentive.,Satisfaction,No complaints—the teaching exceeded expectations.,Satisfaction,"Keep it up, [PROFESSOR]!",Satisfaction
Nothing. All Perfect,Satisfaction,approachable,Satisfaction,"Honestly, nothing at all—I appreciated the way everything was taught.",Satisfaction,Very creative in teaching,Satisfaction
"None, because our teacher teaches us in a very nice way",Satisfaction,Gives proper instructions and guide students on their projects or assignment and listens to students concerns,Satisfaction,Sometimes I wished the discussions would continue longer.,Satisfaction,Hope we have a fun and enjoyable 2nd semester!,Satisfaction
It's quite good as it is,Satisfaction,cant really say I have one,Satisfaction,"There isn’t really a “least liked” part, since I liked the approach overall.",Satisfaction,Hope we have another fun and interactive class this 2nd sem sir!,Satisfaction
The course is good already,Satisfaction,Engaging,Satisfaction,"Nothing I can think of, it was a very positive experience.",Satisfaction,Keep up the good work,Satisfaction
There's nothing to improve since the course is great,Satisfaction,"We practice making,solving and how to implement an entity and attributes.",Satisfaction,I suppose the only “downside” is that I didn’t want the course to end.,Satisfaction,Thank you,Satisfaction
Overall the course is good,Satisfaction,confident,Satisfaction,No negatives here—the clarity was consistent throughout.,Satisfaction,Keep up the good work sir,Satisfaction
"For me, there's is no changes needed because it is [PROFESSOR] that makes the students improved more.",Satisfaction,engaging,Satisfaction,"It’s difficult to say, because all aspects were handled well.",Satisfaction,Good.,Satisfaction
None. Satisfied,Satisfaction,Helped me to gain more knowledge in terms of technoprenuer,Satisfaction,"If anything, the sessions felt too short because I was interested.",Satisfaction,Stay chill sir,Satisfaction
"tbh, there's nothing he's just good at teaching",Satisfaction,Style of teaching,Satisfaction,"Nothing really stood out as least liked, everything was fine.",Satisfaction,The startup mentoring is very good experience for us,Satisfaction
"None [PROFESSOR] is the best at teaching this subjert, he teaches and demonstrate the subject very well",Satisfaction,"I like how ma'am is very chill, strict, and organized all the time.",Satisfaction,The only thing is that sometimes I wanted more examples because they were so helpful.,Satisfaction,Good overall,Satisfaction
None the teacher did their job as intended.,Satisfaction,Friendly and approachable,Satisfaction,I honestly can’t think of a weak point in the teaching.,Satisfaction,He is the goat,Satisfaction
"nothing, he does good in explaining ",Satisfaction,Teaching style,Satisfaction,Nothing major—everything was organized and clear.,Satisfaction,"All in all, I love the lessons",Satisfaction
its good as it is for now,Satisfaction,The demonstration,Satisfaction,"If I had to choose, maybe I just wanted more practice time.",Satisfaction,Thanks for giving me the best and easiest time during this lec.,Satisfaction
nothing its good as of now,Satisfaction,"The way of his style of teaching, make students feel comfortable with the subject",Satisfaction,There isn’t anything I’d point out as least liked.,Satisfaction,im satisfied,Satisfaction
none it's perfect,Satisfaction,She teaches topics very briefly,Satisfaction,Everything was explained well—I can’t say anything bad.,Satisfaction,Napakagaling ni [PROFESSOR]!,Satisfaction
No I think the current one is already best to improve this course,Satisfaction,He gives enough information about the topics,Satisfaction,Perhaps the pace was too smooth; I never felt challenged in a negative way.,Satisfaction,The instructor's ability to breakdown difficult topics into simple examples was invaluable.,Satisfaction
Nothing much to improve since it provides students necessary knowledge about the course.,Satisfaction,He makes the lessons very clear,Satisfaction,I didn’t find any part of the teaching style unhelpful.,Satisfaction,"Keep up the good teaching practice, sir.",Satisfaction
Nothing at all keep up the good work,Satisfaction,"Giving students the ability to learn new things, especially the group presentation and their own programming assigned language.",Satisfaction,The only downside was how quickly time passed during class.,Satisfaction,All good! I enjoyed learning with Sir [PROFESSOR]!,Satisfaction
Nothing I'm satisfied,Satisfaction,Making a case analysis,Satisfaction,I can’t complain—the instructor’s methods worked perfectly.,Satisfaction,All good!,Satisfaction
"none, the teaching methods are great and very clear. pogi mo sir",Satisfaction,The way of teaching,Satisfaction,Nothing at all—it was all very effective.,Satisfaction,All good!,Satisfaction
"none, the teaching method is exquisite and very formal and accommodating to the students learning abilities",Satisfaction,gives their ppt after classes,Satisfaction,Maybe the only challenge was that I wanted more in-depth discussions.,Satisfaction,All good!,Satisfaction
"nothing, overall great teaching ",Satisfaction,Good teacher,Satisfaction,"Honestly, I don’t think there’s a least liked part.",Satisfaction,All good!,Satisfaction
Nothing it's great,Satisfaction,her way of teaching,Satisfaction,"Everything was consistent, so I don’t have a negative point.",Satisfaction,All good!,Satisfaction
None it's good the way it is,Satisfaction,Delivery of lessons,Satisfaction,"If I had to mention something, maybe I wished for even more interaction.",Satisfaction,Overall [PROFESSOR] is a great instructor,Satisfaction
None it was good,Satisfaction,professional on teaching and give best explanation,Satisfaction,There wasn’t really anything I disliked.,Satisfaction,Good job,Satisfaction
None it was a good class,Satisfaction,The teaching style,Satisfaction,The lessons were so smooth that I can’t think of a flaw.,Satisfaction,Sir you did a great job to deliver the hardest subject that I encounter in my whole life of being a student.,Satisfaction
NONE THIS PERFECT,Satisfaction,Giving meaningful and informative handouts,Satisfaction,Nothing really—everything was easy to follow.,Satisfaction,Overall sir [PROFESSOR] is a great instructor,Satisfaction
Everything good and great,Satisfaction,The mastery he displays in his craft,Satisfaction,The only thing is that sometimes I wished the topics went deeper.,Satisfaction,"he is always attentive and supportive, making sure students understand the lessons thoroughly. His dedication to teaching and consistency in attending classes are truly commendable. We appreciate his efforts and patience in helping us succeed.""",Satisfaction
There is nothing I would recommend to improve regarding this course. The professor delivered the material with clarity and effectiveness and I gained a lot of knowledge both from his instruction and the course.,Satisfaction,Giving the materials itself.,Satisfaction,No complaints—the teaching was thorough.,Satisfaction,Nice,Satisfaction
None. All is perfect.,Satisfaction,about the codings,Satisfaction,"Honestly, there was nothing I disliked at all.",Satisfaction,keep it up,Satisfaction
Nothing much (all is well),Satisfaction,given examples,Satisfaction,Maybe the only issue is that I wanted more challenges.,Satisfaction,All goods,Satisfaction
"Nothing, really. Sir Ceed is already doing great! (Goated Master)",Satisfaction,The classes were on time and some were dismissed like 30 minutes early.,Satisfaction,There isn’t anything bad to say about the teaching.,Satisfaction,All goods,Satisfaction
"Nothing, because she teaches very well",Satisfaction,Additional information and lab activities.,Satisfaction,The only thing was I wanted more sessions with the same instructor.,Satisfaction,All goods,Satisfaction
Everything is good,Satisfaction,Activities and Grace Periods,Satisfaction,I can’t think of anything least liked—it was excellent.,Satisfaction,i was able to understand the discussions in this subject because the way of her teaching,Satisfaction
Nothing much this is the best,Satisfaction,Straight to the point.,Satisfaction,"If I had to choose, maybe the lectures ended too quickly.",Satisfaction,Always all ears for students and considerate at most time,Satisfaction
I think the course is already good as it is,Satisfaction,Her teaching is good,Satisfaction,Nothing—it was a positive learning environment all throughout.,Satisfaction,Sir is one of the best profs I know in our department and is doing his job excellently,Satisfaction
"Since the course is already a positive experience, it would be nice to maintain it as is",Satisfaction,Lahat,Satisfaction,"I enjoyed everything, so I don’t really have a least liked part.",Satisfaction,keep up the good work sir! thank you.,Satisfaction
None the subject was perfect as it is.,Satisfaction,Their professionalism and skills,Satisfaction,Nothing bothered me about the way the instructor taught.,Satisfaction,The GOAT,Satisfaction
"Nothing, all is well.",Satisfaction,Detailed,Satisfaction,"The teaching was solid, I have no negatives.",Satisfaction,Extend the tour like more company,Satisfaction
Intructor is already good no need for improvements,Satisfaction,straight to the point,Satisfaction,I suppose the only thing is that I wished we had more activities.,Satisfaction,"Overall, the experience while in the class was  worth it ",Satisfaction
none because our teacher teaches very well,Satisfaction,He is so responsible,Satisfaction,Everything worked for me—nothing stands out as least liked.,Satisfaction,"The course itself is a great experience for students, and the instructor does his best to provide knowledge to students.",Satisfaction
"none, [PROFESSOR] is very well in this sub",Satisfaction,attitude,Satisfaction,There isn’t anything I could complain about.,Satisfaction,None all good,Satisfaction
Wala. perfect,Satisfaction,Deep and wide range of topics,Satisfaction,Nothing—it was all clear and enjoyable.,Satisfaction,nope overall is 10/10,Satisfaction
none everything is great and fine,Satisfaction,Teaching style,Satisfaction,Maybe the only thing is that I always wanted more examples.,Satisfaction,No comment goated prof,Satisfaction
None since its already okay,Satisfaction,N/A,Satisfaction,Nothing in particular—I liked the teaching style.,Satisfaction,The class still held value at the of the day and still taught me the fundamentals of web development.,Satisfaction
Nothing so far everything was handled perfectly,Satisfaction,Clear,Satisfaction,The only “problem” is that the class ended too soon.,Satisfaction,It was a good enough class with a lot of learning moments.,Satisfaction
"None, the teaching method is quite effective.",Satisfaction,Very Good Teaching,Satisfaction,Everything was great; nothing negative comes to mind.,Satisfaction,best teacher,Satisfaction
Nothing. All perfect,Satisfaction,Very Clear and Loud,Satisfaction,I can’t find a least liked part—it was all handled well.,Satisfaction,good teacher!,Satisfaction
"i don't have any recommendation to improve this course, because i have a good experience in this course.",Satisfaction,Nice,Satisfaction,Perhaps the only thing is that I wanted more time to learn.,Satisfaction,good,Satisfaction
"None, because [PROFESSORS] teaching is already great.",Satisfaction,Very nice 👍,Satisfaction,Nothing to dislike—it was effective throughout.,Satisfaction,The instructor made me realize the importance of being careful and managing our behavior.,Satisfaction
Nothing since the course was able to teach the important topics well.,Satisfaction,Clear,Satisfaction,I really can’t point out a least liked aspect.,Satisfaction,One of the best,Satisfaction
"Nothing much. As it is already good as it is and every lesson can be easily learned, provided you do your part.",Satisfaction,His teaching style.,Satisfaction,Everything was taught so well that I can’t complain.,Satisfaction,One of the best,Satisfaction
None because its very easy to Learn,Satisfaction,His teaching style also,Satisfaction,"If anything, I just wished we had more class meetings.",Satisfaction,"but overall, they were always there to support and guide us in devwloping our system projects.",Satisfaction
None. Everything seems to be fine,Satisfaction,His teaching also,Satisfaction,"Nothing at all, the teaching style suited me perfectly.",Satisfaction,"Nothing much, he is doing his part very well throughout the whole semester",Satisfaction
Its good,Satisfaction,He's way of teaching students,Satisfaction,I don’t think there’s anything least liked.,Satisfaction,"just keep it the way it is, or keep further improvements",Satisfaction
[PROFESSOR] instructions in every activities were so far easy to follow and very beginners-friendly to most of us freshmen.,Satisfaction,Her teaching skills,Satisfaction,Everything felt right; I have no criticisms.,Satisfaction,"He meets the teaching material requirements by providing individual quizzes and activities, whether through hands-on coding or written handouts during every discussion. He also assigns projects that help reinforce what we’ve learned. ",Satisfaction
"they we're approachable, supportive, and respective throughout the entire thesis process. ",Satisfaction,Hmmm his teaching also,Satisfaction,Nothing—it was a smooth and enjoyable class.,Satisfaction,The course was a valuable experience that helped me understand the subject better.,Satisfaction
its good no changes needed,Satisfaction,Some of the lesson he teach,Satisfaction,"Maybe I just wanted more advanced topics, but that’s not a bad thing.",Satisfaction,the course gives us more valuable insights about ethics in comouting studies,Satisfaction
no changes needed,Satisfaction,Teaching the syllabus properly,Satisfaction,There was no part I disliked about the instructor’s teaching.,Satisfaction,but overall they are always there to give full support as they can for us to nake our system works well,Satisfaction
"None, it really depends on the one teaching that makes a course enjoyable while learning",Satisfaction,Everything,Satisfaction,"Everything was helpful, nothing negative to say.",Satisfaction,I understood the lessons well and improved my logic because of him and sir [PROFESSOR].,Satisfaction
"honestly, nothing really comes to mind. the course was pretty solid overall.",Satisfaction,She teached us with a detailed information about the subject and topics.,Satisfaction,"Honestly, I wouldn’t change anything.",Satisfaction,One of the best,Satisfaction
nothing to say it is okay as it is,Satisfaction,"
The way she teaches us. Her approach. ",Satisfaction,Nothing—it was a great experience overall.,Satisfaction,"he's good, lucky to his student",Satisfaction
No need to improve.,Satisfaction,Everything,Satisfaction,Perhaps the only “downside” is that I wanted more homework to practice.,Satisfaction,none. all goods!! (⁠ ⁠╹⁠▽⁠╹⁠ ⁠),Satisfaction
It's all good.,Satisfaction,Everything,Satisfaction,There wasn’t really a least liked part.,Satisfaction,he's great,Satisfaction
All goods,Satisfaction,Explains thoroughly,Satisfaction,"I liked everything, so nothing to complain about.",Satisfaction,he greate,Satisfaction
It's all good.,Satisfaction,Everything,Satisfaction,"If I had to say something, maybe the classes were too short.",Satisfaction,he greate at teaching,Satisfaction
No changes needed,Satisfaction,Explains thoroughly,Satisfaction,Nothing negative—the teaching was excellent.,Satisfaction,good,Satisfaction
no changes,Satisfaction,Everything,Satisfaction,I can’t think of anything least liked.,Satisfaction,One of the best,Satisfaction
none. Everything is perfect the way it is.,Satisfaction,To explain beyond understanding about SE,Satisfaction,"The pace was good, I have no complaints.",Satisfaction,Very good teacher,Satisfaction
"So far, none. We have been given a proper flow and a constructive process to have a capstone project that would help us/the university.",Satisfaction,The way he let us learn from our mistakes,Satisfaction,Nothing—it was a very effective class.,Satisfaction,she great,Satisfaction
none for me I'm comfortable with this environment of learning,Satisfaction,Everything,Satisfaction,I honestly didn’t dislike any aspect.,Satisfaction,"Very good teacher, teaches so well",Satisfaction
None its good for me,Satisfaction,Our instructor was very practical in terms of teaching. He lets us to learn on our own. I love how he,Satisfaction,"Maybe I just wanted more examples, but it was already good.",Satisfaction,None we love sir [PROFESSOR],Satisfaction
"None, since for me he is a good teacher ",Satisfaction,Everything,Satisfaction,There wasn’t a least liked part for me.,Satisfaction,I hope they continue to motivate and encourage students.,Satisfaction
I have no recommended changes for this course because it exceeds my expectation on what I'll learn within the course,Satisfaction,His approach,Satisfaction,Everything was fine—I have no negatives.,Satisfaction,Keep up the good work,Satisfaction
None It this course for me gives already,Satisfaction,Teaching effectively to students and discusses about the fundamentals of discrete structure in computing,Satisfaction,Nothing really stood out as a weak point.,Satisfaction,Keep up the good work!,Satisfaction
Not much. This course has provided me with good leads on how to do/conceptualize a proper capstone project.,Satisfaction,Easy to understand,Satisfaction,The only “problem” was that the instructor made things too clear.,Satisfaction,fast teaching but clear and concise,Satisfaction
This course is interesting. There is nothing much to change here.,Satisfaction,She discusses the real fundamentals of computing making us ready for the other broad computing discussion,Satisfaction,Nothing at all—I was happy with the teaching.,Satisfaction,very clear and concise in teaching,Satisfaction
Just keep the usual thing and dont change it because it help the students a lot,Satisfaction,His clarity and interest in teaching,Satisfaction,I don’t think there’s a least liked aspect to mention.,Satisfaction,ideal prof,Satisfaction
Nothing to improve the class particularly the instructors teaching methods was sufficient and comprehensive,Satisfaction,explaining further,Satisfaction,"Everything was great, no complaints here.",Satisfaction,this class was good,Satisfaction
Already good,Satisfaction,Overall really like his explanations and activities,Satisfaction,Perhaps I wished the class lasted longer.,Satisfaction,I do not have any constructive comment.,Satisfaction
"Nothing, the outline is good",Satisfaction,Their way of teaching,Satisfaction,Nothing to dislike—the lessons were engaging.,Satisfaction,Good...,Satisfaction
Already good,Satisfaction,Their way of teaching,Satisfaction,No negatives—the instructor explained well.,Satisfaction,Good Good...,Satisfaction
"The course was absorbed by the students pretty good, it met the standard of the course.",Satisfaction,His live examples,Satisfaction,"Honestly, I liked everything.",Satisfaction,I love the teaching style. I suggest to keep it up and more students will learn a lot from it.,Satisfaction
Nothing to improve cause it's already perfect.,Satisfaction,Everything was good,Satisfaction,"The teaching was good overall, nothing to point out.",Satisfaction,everything is taught well. maybe adding some real world examples would help a lot.,Satisfaction
"Nothing, it's already okay",Satisfaction,Give a lot of activities or examples,Satisfaction,Nothing—it was already excellent.,Satisfaction,A bit more detailed explanation of the topics would help a lot.,Satisfaction
"No changes, it's fine as it is",Satisfaction,Their way of teaching,Satisfaction,I didn’t find anything to dislike.,Satisfaction,the videos help a lot but more live demos in class would make learning a lot better,Satisfaction
"NOTHING, THE COURSE IS GOOD ",Satisfaction,good in explaining and not intimidating,Satisfaction,"Everything was smooth, I can’t complain.",Satisfaction,"Overall, my experience is well. I know I've learned through his teaching much more.",Satisfaction
Stay the same,Satisfaction,using screen projector to do the lectures more effectively,Satisfaction,"I liked everything, so I don’t have a least liked part.",Satisfaction,"The standard for teaching is already met, I have no further comments",Satisfaction
It is good as it gets,Satisfaction,He is good at demonstrating how to do a specific activity like when we had our crimping activity.,Satisfaction,Maybe the only downside is that I wanted more practice work.,Satisfaction,The class was amazing,Satisfaction
Exams are fun or easier,Satisfaction,Using coursera for better student understanding,Satisfaction,Nothing—it was well done.,Satisfaction,"It was my first time being in one of your class, u did well :3",Satisfaction
"None, [PROFESSOR] delivered the course with mastery",Satisfaction,Gives Coursera course,Satisfaction,There was nothing that felt negative.,Satisfaction,Everything is excellent,Satisfaction
"Just a small one, actually. I really appreciate how clear and concise [PROFESSOR] slides are. It would be even better if he included step-by-step instructions or a tutorial video link to help with reviewing algorithm procedures.",Satisfaction,good in explaining,Satisfaction,"If anything, I wished we had even more lessons.",Satisfaction,Everything is excellent,Satisfaction
"Would be nice if [PROFESSOR] can provide a course syllabus for a heads up. Other than that, the course is pretty straightforward and I really enjoyed his sessions!",Satisfaction,Explains everything clearly,Satisfaction,"No negatives, everything worked well.",Satisfaction,more engaging lesson and makes everything productive,Satisfaction
"nothing much, the flow of this subject was okay. ",Satisfaction,being hands on to the students,Satisfaction,Nothing stood out as least liked.,Satisfaction,"In terms of teaching, he makes the lessons a lot more easier to comprehend.",Satisfaction
"nothing much, the subjects hard so yeah brain capacity matters.",Satisfaction,Fast paced teaching but well taught,Satisfaction,It was all fine—I can’t find fault.,Satisfaction,This should be the standard when hiring a college instructor.,Satisfaction
"I wouldn’t really say change, since the course was already good, but perhaps consistency and enhancement. Keeping it fresh and practical by integrating the latest tech trends, real-world case studies, hands-on projects, industry talks, and regular updates will ensure students gain skills that truly align with what’s happening in computing today.",Satisfaction,He explained very efficiently,Satisfaction,"Honestly, I can’t think of anything.",Satisfaction,This is the standard that i want when it comes to instructor,Satisfaction
I really enjoyed the course; maybe adding a few extra examples could make it even more engaging.,Satisfaction,Showing how to program and teaching students hand on,Satisfaction,Everything was effective and clear.,Satisfaction,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction
"The course is excellent, and more interactive exercises could make it even better.",Satisfaction,Able to thoroughly deliver the topics.,Satisfaction,Nothing to complain about.,Satisfaction,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction
Very satisfied with the course; a few more practice problems would be helpful for review.,Satisfaction,Being detailed,Satisfaction,I liked the whole teaching style.,Satisfaction,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction
The lessons are clear and enjoyable; adding some visuals could enhance the experience.,Satisfaction,Easy to understand,Satisfaction,No negatives at all.,Satisfaction,The instructor demonstrated solid knowledge of the subject and presented concepts clearly.,Satisfaction
I’m happy with the course; occasional quizzes could help reinforce learning.,Satisfaction,Quality Teaching,Satisfaction,Everything was excellent—I can’t say otherwise.,Satisfaction,i like how sir [PROFESSOR] handle us dapat po sana nasa earlier level din siya para mas earlier ang pagturo niya sa students (the type of teaching he uses para mabihasa na instead ma shock pa ang students hehe),Satisfaction
"The professor is great, and perhaps a short recap at the end of each class would be useful.",Satisfaction,Teaching each lessons properly and clearly,Satisfaction,Maybe the only issue is I wanted more topics covered.,Satisfaction,The Professor or Instructors they delivered properly,Satisfaction
I loved this course; maybe a few more real-life examples could make it more interesting.,Satisfaction,How they further elaborate the topic,Satisfaction,Nothing—it was all good.,Satisfaction,"The class was both enjoyable and informative, I really appreciate the effort put into it.",Joy
The teaching style is very good; a recorded session for review would be a nice addition.,Satisfaction,Online Learning Method,Satisfaction,I honestly didn’t dislike anything.,Satisfaction,The way lessons were explained made even the hardest topics easy to follow.,Satisfaction
Very pleased with the course; small group discussions could make it even more engaging.,Satisfaction,He is very knowledgeable in this field.,Satisfaction,The teaching was great overall.,Satisfaction,"I feel satisfied with how much I learned this semester, thank you for the guidance.",Satisfaction
I enjoyed learning here; a few hands-on exercises could strengthen understanding.,Satisfaction,The visual aids that are provided,Satisfaction,Nothing stood out as a problem.,Satisfaction,The instructor’s enthusiasm and energy in teaching made the subject exciting.,Satisfaction
The class is well-structured; including short interactive activities could be fun.,Satisfaction,Explain all the lessons clearly,Satisfaction,I don’t think there’s a least liked part.,Satisfaction,I’m glad the activities were both fun and useful for learning.,Joy
I’m satisfied with the course and would love more examples of practical applications.,Satisfaction,He explains the lessons that makes it understandable and easy to us.,Satisfaction,Everything was explained well—I have no complaints.,Satisfaction,The way lessons were organized made studying less stressful and more effective.,Satisfaction
Great course! Maybe a brief summary of key points at the end of each topic would help.,Satisfaction,His teaching.,Satisfaction,Nothing to dislike here.,Satisfaction,I really liked the balance between theory and practice in the course.,Satisfaction
I’m happy with the learning experience; more collaboration tasks could make it enjoyable.,Satisfaction,The ability to explain complex topics in engaging and simple way.,Satisfaction,It was all fine—I was satisfied.,Satisfaction,I appreciate how approachable and supportive the instructor was throughout the semester.,Satisfaction
Excellent teaching; adding some industry-related case studies would be a plus.,Satisfaction,"Not just as our thesis adviser, but I really do appreciate that he is strict yet approachable, providing clear and well-detailed instructions and guidance towards our thesis. I also value the practical tips and advice he offers, which make the process more manageable and effective.",Satisfaction,The only thing is I wished for longer sessions.,Satisfaction,"The feedback given on outputs was clear and motivating, helping me improve.",Satisfaction
Very satisfied overall; occasional Q&A sessions make the class even better.,Satisfaction,He teaches the lessons very well,Satisfaction,Nothing—it was effective and enjoyable.,Satisfaction,I am satisfied with the way discussions encouraged us to think critically.,Satisfaction
The course is really good; providing extra reading resources could be beneficial.,Satisfaction,The visual aids and how experienced he is in his area of expertise in computer programming.,Satisfaction,"Everything was clear, nothing negative.",Satisfaction,The teaching style kept me interested and motivated to learn more.,Satisfaction
I enjoyed this course a lot; a few mini-projects would make it even more fun.,Satisfaction,He teaches the lessons such as concepts and etc. that will make the class enjoyable and easy to understand,Satisfaction,No negatives come to mind.,Satisfaction,"I enjoyed the interactive approach, it made the class lively and productive.",Satisfaction
Teaching is excellent; a little more time for discussion would be great.,Satisfaction,He is good at explaining the lessons and make the students engaged to his lessons effectively,Satisfaction,"Honestly, I liked it all.",Satisfaction,"The instructor made sure that all of us understood the lessons well, which I valued.",Satisfaction
Very happy with the course; including example solutions for exercises could help.,Satisfaction,He is good at explaining,Satisfaction,The teaching was smooth and clear.,Satisfaction,I’m very satisfied with how the class helped me develop my coding skills.,Satisfaction
I liked the course very much; more visuals or diagrams would enhance learning.,Satisfaction,He explain very well,Satisfaction,Nothing stood out as bad.,Satisfaction,The examples used in class were relevant and easy to relate to real life.,Satisfaction
The lessons are clear and helpful; a small online discussion forum could be useful.,Satisfaction,He is passionate about the lesson making the lesson easy to understand,Satisfaction,Everything felt good to me.,Satisfaction,"I felt supported in this class, and that helped me build confidence in my skills.",Satisfaction
I really enjoyed the class; short quizzes could help reinforce the topics.,Satisfaction,She is making the lessons easy to understand,Satisfaction,Nothing—it was done very well.,Satisfaction,"The subject was handled in a professional and effective way, making it easier to grasp.",Satisfaction
The course is great; adding more step-by-step examples would be beneficial.,Satisfaction,Very about and knowledgeable about the topic.,Satisfaction,I really don’t have anything negative to mention.,Satisfaction,The instructor’s patience and clear explanations really helped me learn.,Satisfaction
Very satisfied with the professor; including more practical demonstrations would be fun.,Satisfaction,Show snippet codes,Satisfaction,No complaints at all.,Satisfaction,"Overall, I enjoyed the semester because of the well-structured and engaging lessons.",Satisfaction
Loved the way the course is taught; occasional recap slides would be helpful.,Satisfaction,resources,Satisfaction,Everything worked out fine.,Satisfaction,The instructor created a welcoming environment that made it easier to participate.,Satisfaction
I’m happy with this subject; more interactive polls or activities could be enjoyable.,Satisfaction,Way of teaching,Satisfaction,Nothing was least liked—it was all good.,Satisfaction,I appreciate the consistency and effort put into every class session.,Satisfaction
Teaching is very good; slightly slower pacing on complex topics would help.,Satisfaction,He was very connective with the students giving a sense of security and understanding between teacher and students,Satisfaction,It’s hard to find anything negative.,Satisfaction,The class exceeded my expectations and left me feeling satisfied with what I learned.,Satisfaction
"Overall, I really liked the course; a few extra hands-on exercises could improve it slightly.",Satisfaction,[PROFESSOR] treats us as someone who is responsible for the business we are handling and that is good for building experiences,Satisfaction,"Honestly, there’s nothing I would change.",Satisfaction,I truly enjoyed the experience and would gladly take another class with the same instructor.,Joy
to be less PPT oriented course,Boredom,"none, maybe the part where we always got free class (cause he's absent) and can do works for other subjects.",Boredom,That their delivery of the topic is not as dynamic and engaging reading the powerpoint on their laptop presented to us on the whiteboard via projector with a monotonous tone.,Boredom,Not that I don’t like it that much but at laboratory time I get quite pressured because most of the time I’m just like loading in a sense that I cannot process everything what the professor is discussing in front  because sometimes our prof discusses things quite fast which is harder for me to keep up. (More like a me problemXD),Boredom
Maybe sort of redundancy,Boredom,"hes a creative teacher and uses different methods to help us learn. he especially enjoys group activities, particularly role playing, which are definitely fun and engaging. the only thing i didnt really enjoy was the film watching sessions, they felt a bit boring and made me sleepy. ",Boredom,Teaching the lesson like reading a story from Disney,Boredom," Just another me problem.. I’m personally having a hard time understanding how it works, truly (sorry ma’amTvT See you around po!)",Boredom
The lessons should be more quite exciting and interesting,Boredom,I liked that the lectures gave me plenty of time to daydream.,Boredom,Too fast in teaching sometimes,Boredom,Improve the interaction where students won't get bored,Boredom
"I think adding a bit of fun to this course would make it more engaging. That's just my personal opinion, because sometimes, I find networking topics a bit boring, just a bit.",Boredom,The monotone delivery was so calming it almost felt like nap time.,Boredom,N/A,Boredom,"Sometimes the lectures feel too repetitive, and it makes it harder to stay focused.",Boredom
Make it more lively,Boredom,I appreciated how the slides were predictable—it made zoning out easier.,Boredom,Sometimes the classes were flat.,Boredom,The long stretches of slides make me lose interest quickly.,Boredom
This course gave me the tools and perspective necessary to grow as a programmer my own. I wish the curriculum just went a little bit faster,Boredom,"What I liked best was how the class always felt the same, even if dull.",Boredom,Real life scenario explanation,Boredom,I hope the class can be more interactive because listening the whole time gets tiring.,Boredom
Her voice is so soothing that it makes us sleepy.,Boredom,"I liked the quiet, it made it easier to think of other things.",Boredom,Fast sometimes,Boredom,"The lessons drag on, and it’s hard not to zone out.",Boredom
