What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
None,Null,She is good at explaining concepts,Satisfaction,None,Null,None,Null,
The learning materials,Acceptance,Very lenient,Acceptance,The very fast pacing of the topics,Disappointment,None,Null,
None,Null,He is great teacher,Satisfaction,None,Null,None,Null,
None,Null,He is good at explaining concepts,Satisfaction,None,Null,None,Null,
None,Null,Straightforward lessons,Satisfaction,None,Null,None,Null,
The pacing of his teaching,Acceptance,Very well explained leasons,Satisfaction,none,Null,none,Null,
None,Null,Learning materials,Acceptance,None,Null,None,Null,
None,Null,"I love how the class is very formal, following rules and regulations of the school and it was very memorable and unique experience",Joy,Sometimes there are on the spot changes but its fine becuase sometimes those were emergencies,Acceptance,None,Null,
Nothing,Null,ability to teach,Satisfaction,Personality,Disappointment,Nothing,Null,
None,Null,He is funny,Joy,None,Null,None,Null,
Noneee,Null,Fast paced lessons,Acceptance,None,Null,None,Null,
None,Null,None,Null,His way to teach in a strategic way,Disappointment,None,Null,
None,Null,Very cheerful and clear voice,Joy,The learning materials,Disappointment,None,Null,
Her teaching method,Acceptance,none,Null,none,Null,none,Null,
Nonee,Null,The project based learning,Satisfaction,None,Null,None,Null,
More company tours,Acceptance,Great,Satisfaction,None,Null,None,Null,
Nothing,Null,Teaching,Satisfaction,Personality,Disappointment,Nothing,Null,
More tours,Acceptance,None,Null,None,Null,None,Null,
None,Null,Teaching the lessons detail by detail,Satisfaction,None,Null,None,Null,
Depends if the student wants to improve more on the human needs,Irrelevant,"She has many unique ways to entertain us during class, very enjoyable and memorable whenever during discussions ",Joy,Sometimes her ways are hard to apply during application but for me i think im the one that needs to improve more,Acceptance,None,Null,
Nothing,Null,Personality,Acceptance,Personality,Disappointment,Nothing,Null,
More tours,Acceptance,None,Null,Na,Null,Na,Null,
N/A,Null,Ensuring the students are engaged and learning about the topics.,Satisfaction,N/A,Null,N/A,Null,
More tours,Acceptance,Na,Null,Na,Null,Na,Null,
None,Null,To demonstrate and explain the questions we're asking,Satisfaction,None,Null,None,Null,
Nothing,Null,Personality,Acceptance,Personality,Disappointment,Nothing,Null,
None,Null,N/A,Null,None,Null,None,Null,
Nothing,Null,Personality,Acceptance,Personality,Disappointment,Nothing,Null,
None,Null,N/A,Null,None,Null,None,Null,
Nothing,Null,Personality,Acceptance,Personality,Disappointment,Nothing,Null,
More project base activity,Acceptance,Constructive teaching,Satisfaction,N/A,Null,N/A,Null,
Yes,Irrelevant,Fun teaching,Joy,Fun teaching,Irrelevant,Nothing,Null,
N/A,Null,Providing strategies,Satisfaction,N/A,Null,N/A,Null,
groupdmates,Irrelevant,everything,Satisfaction,Speed of teaching,Disappointment,nope overall is 10/10,Satisfaction,
N/A,Null,Prof is approachable,Joy,N/A,Null,N/A,Null,
N/A,Null,Assist student that are in trouble,Satisfaction,N/A,Null,N/A,Null,
Nothing,Null,Fun teaching,Joy,Fun teaching,Irrelevant,Nothing,Null,
--,Null,he always helps students to understand. and really patient.,Satisfaction,non so far,Null,none,Null,
N/A,Null,Very good at teaching,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,I was actually learning. Easy to understand and interpret.,Satisfaction,"Understanding of each student, makes sure each student can understand the material.",Irrelevant,N/A,Null,
Nothing,Null,Fun teaching,Joy,fun teaching,Irrelevant,Nothing,Null,
N/A,Null,Attends to students need and gives students freedom to explore,Satisfaction,N/A,Null,N/A,Null,
Nothing,Null,creative teaching,Joy,nothing,Null,N/A,Null,
Give video lecture for students,Acceptance,persistent,Acceptance,sometimes unclear,Disappointment,none,Null,
nothing,Null,explaining the context of the topic very well and easier to understand,Satisfaction,nothing,Null,none,Null,
nothing,Null,the patience when it comes to giving help in terms of the things we don't understand.,Acceptance,nothing,Null,none,Null,
Physical examples,Acceptance,Patience,Acceptance,None,Null,None,Null,
"update ppt, include more examples for better understanding and efficient self studying.",Acceptance,Gives effort in teaching,Satisfaction,sometimes i cant understand / hear him,Disappointment,None So far,Null,
"The course is hard by itself. In my opinion, create compelling ppts",Acceptance,[PROFESSOR] is passionate about teaching,Joy,slightly lower tone and volume of his voice,Disappointment,none,Null,
N/A,Null,Assist students when in need,Satisfaction,N/A,Null,N/A,Null,
None,Null,Everything,Satisfaction,"Nothing, he did great",Null,N/A,Null,
"none, [PROFESSOR] is very well in this sub",Satisfaction,Highly knowledgeable,Satisfaction,none,Null,none,Null,
None,Null,HIS STRATEGIES IN TEACHING,Satisfaction,None,Null,None,Null,
"Provide the tools for student. Example RAM, Docking station etc",Acceptance,Instruction Manual is complete. Easy to follow and understand.,Satisfaction,Gives effort in teaching and answers the questions of student,Irrelevant,None,Null,
not change but add more activities,Acceptance,his style of teaching by making us do activities,Satisfaction,none,Null,none,Null,
None,Null,very caring,Joy,none,Null,On of my fav teacher,Joy,
Wala. perfect,Satisfaction,giving Prizes as an inspiration for us to work harder to achieve that prize,Joy,nothing,Null,None po hehehehe,Null,
None,Null,Making sure that we are safe,Satisfaction,None,Null,None,Null,
none,Null,Generous,Joy,none,Null,STARDEW VALLEY,Irrelevant,
None,Null,Adjusts lessons based on our skills and understanding,Satisfaction,None,Null,None,Null,
None,Null,None,Null,Making sure that we are safe,Irrelevant,None,Null,
none,Null,caring,Joy,none,Null,xd,Irrelevant,
none,Null,none,Null,none,Null,none,Null,
none,Null,se2 best practices in software building,Satisfaction,none,Null,none,Null,
None,Null,Explains the lesson in a very detailed way,Satisfaction,None,Null,None,Null,
None,Null,Keeping an eye for us for safety purposes,Acceptance,None,Null,None,Null,
NONE,Null,PATIENCE AND QUICK RESPONSE TIME,Satisfaction,None,Null,None,Null,
none,Null,Caring,Joy,none,Null,..,Null,
N/A,Null,He's helpful,Satisfaction,none,Null,none,Null,
the deadline,Disappointment,clarity,Satisfaction,deadline,Disappointment,none,Null,
give updated sample documentation for students to follow,Acceptance,gives time to student to finish their subject,Satisfaction,sometimes missing,Disappointment,none,Null,
none,Null,Shared some techniques,Satisfaction,none,Null,XD,Irrelevant,
None,Null,Keeping us in check on our actions,Acceptance,None,Null,None,Null,
Nothing,Null,Nothin,Null,Nothing,Null,No comment,Null,
none everything is great and fine,Satisfaction,the strategy of teaching is very nice,Select---,none,Null,none,Null,
None,Null,It was easy to understand,Satisfaction,Ihimmmmmmm,Irrelevant,None,Null,
put teachings into practice during lab schedules,Acceptance,Knowledgeable,Satisfaction,none,Null,none,Null,
none,Null,Quick response time,Satisfaction,None,Null,None,Null,
provide updated documentation guide,Acceptance,gives time to student to finish their project,Satisfaction,sometimes missing,Disappointment,none,Null,
none,Null,thought some techniques,Satisfaction,none,Null,xd,Irrelevant,
None,Null,Guiding us in our development of thesis,Satisfaction,None,Null,None,Null,
none,Null,teaching us about flutter and figma,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,Includes or mentions real life scenarios to demonstrate and generate good design for a variety of users,Satisfaction,None,Null,None,Null,
N/A,Null,Detailed teaching,Satisfaction,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,xd,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Nothing,Null,
none,Null,best at sharing knowledge and tips,Satisfaction,none,Null,none,Null,
None,Null,None,Satisfaction,None,Null,None,Null,
None,Null,Giving us tips on how to develop a system,Satisfaction,None,Null,None,Null,
ppt should be updated. keep it short yet easy to understand,Acceptance,gives effort,Satisfaction,sometimes i cannot hear him,Disappointment,none,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,xd,Null,
none,Null,none,Null,attitude,Null,none,Null,
N/A,Null,Student friendly teaching,Joy,N/A,Null,N/A,Null,
needs louder voice when teaching,Acceptance,knowledgeable about the topic,Satisfaction,none,Null,none,Null,
Nothing,Null,Hands on coding,Satisfaction,Nothing,Null,None,Null,
N/A,Null,Attends to students needs and explains very well,Satisfaction,N/A,Null,N/A,Null,
none,Null,Thought us very well,Satisfaction,none,Null,xd,Null,
None,Null,Making sure that we are making progress on our system,Satisfaction,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,teaches student in the way they could understand,Satisfaction,none,Null,none,Null,
None,Null,Patience and easy to understand lesson,Satisfaction,None,Null,None,Null,
Na,Null,Na,Null,Na,Null,Na,Null,
Nothing,Null,Nothing,Null,Nothing,Null,No comment,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,showed some techniques,Satisfaction,none,Null,xd,Irrelevant,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None since its already okay,Satisfaction,guides student from start to finish,Satisfaction,none,Null,none,Null,
None,Null,Explaining in detail,Satisfaction,None,Null,None,Null,
None,Null,Very articulate,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,Very friendly,Joy,N/A,Null,N/A,Null,
none,Null,great at sharing experience and knowledge,Satisfaction,none,Null,none,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,Guiding us on how to make these task,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Nothing,Null,Nothing,Null,No comment,Null,Nothing in mind,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,very nice,Joy,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
none,Null,everything,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
N,Null,N,Null,N,Null,N,Null,
None,Null,Explain his lessons detail by detail,Satisfaction,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Comment,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
N,Null,N,Null,N,Null,N,Null,
None,Null,Showing us the tips for productivity,Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Less absents and do classes and their respective schedules.,Acceptance,About the projects,Acceptance,How she didn't try to give us all the proper lectures on time.,Disappointment,That's all.,Null,
Availability,Acceptance,Elaborately explained,Satisfaction,none,Null,none,Null,
none,Null,none,Null,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
N/A,Null,Encourages students to learn more,Joy,N/A,Null,N/A,Null,
N,Null,N,Null,N,Null,N,Null,
none,Null,none,Null,none,Null,none,Null,
More elaborate and creative laboratory activities.,Acceptance,He was succinct and obviously well-versed in his field. He is always uplifting during activities.,Joy,I hoped that their could be more learning opportunities because it was often just activities.,Disappointment,It was easily one of my most favorite classes.,Joy,
Nothing so far everything was handled perfectly,Satisfaction,Very responsive and really cares for the opinion of the students,Joy,Nothing,Null,No comment goated prof,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
N,Null,N,Null,N,Null,N,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Explained well and easy to understand,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Clear Instructions,Acceptance,Push us to our limit,Satisfaction,Not clear instructions,Disappointment,N/A,Null,
none,Null,sir tend to give immediate advice about the concerns we consulted to him which is really a big help for us in completing our se project.,Satisfaction,none,Null,none,Null,
Nothing,Null,Fun teaching,Joy,Fun teaching,Irrelevant,Nothing,Null,
N,Null,N,Null,N,Null,N,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Difficult task,Acceptance,N/A,Null,N/A,Null,
Nothing,Null,Fun teaching,Joy,Fun teaching,Irrelevant,Nothing,Null,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,Relatable and gives time for questions,Satisfaction,N/A,Null,N/A,Null,
Availability,Acceptance,Good in Consultation,Satisfaction,None,Null,None,Null,
N/A,Null,The Task he gives,Acceptance,N/A,Null,N/A,Null,
Depends on the aspect,Irrelevant,None,Null,critics,Disappointment,nope,Null,
N/A,Null,Providing strategies,Satisfaction,N/A,Null,N/A,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
N/A,Null,Tries his best to teach us and is very diligent in doing so.,Satisfaction,N/A,Null,N/A,Null,
NONE,Null,TEACHING SKILL AND CARING FOR THE STUDENTS,Joy,None,Null,none,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,Providing ideas and possible outcomes,Satisfaction,N/A,Null,N/A,Null,
NA,Null,NA,Null,NA,Null,NA,Null,
just teach more rather than expect student to understand everything out of nowhere,Disappointment,N/A,Null,N/A,Null,N/A,Null,
none,Null,none,Null,none,Null,none,Null,
Slow the pace of teaching.,Acceptance,He was knowledgable about the subject.,Satisfaction,He rushes the topics too fast and their are things that I cannot absorb.,Disappointment,The class still held value at the of the day and still taught me the fundamentals of web development.,Satisfaction,
none,Null,none,Null,none,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,It was a good enough class with a lot of learning moments.,Satisfaction,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,He explains the lesson well.,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,N/A,Select---,N/A,Null,N/A,Null,
"None, the teaching method is quite effective.",Satisfaction,None,Select---,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
I had an incredibly difficult time in this subject for no reason. I really hoped everything about this class would be majorly improved.,Disappointment,She was energetic and lively during discussions.,Joy,The Instructor was pedantic in the most smallest details.,Disappointment,I really hope for a major reform in this subject.,Disappointment,
N/A,Null,N/A,Null,N/A,Null,I really liked the class and can't find anything significantly negative about it.,Joy,
N/A,Null,N/A,Null,N/A,Null,Nothing too outstanding. A consistent class that I have learned a thing or two from.,Acceptance,
None,Null,Very approachable and would explain again if we didn't understand the topic,Satisfaction,None,Null,None,Null,
Nothing,Null,Straight to the point,Satisfaction,None,Null,None,Null,
None,Null,His patience,Satisfaction,None,Null,None,Null,
None,Null,Smile,Joy,None,Null,None,Null,
None,Null,His patience and understanding,Satisfaction,None,Null,None,Null,
none,Null,explaining properly,Satisfaction,none,Null,none,Null,
None,Null,His accent,Irrelevant,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,"His voice, I can't understand him.",Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,His love for his students.,Joy,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Enhanced teaching methods,Acceptance,His optimism and mastery of the said course and teaching methods,Satisfaction,None,Null,None,Null,
None,Null,Being friendly and teaches the lessons well,Joy,None,Null,None,Null,
Enhance teaching methods,Acceptance,Mastery and the way she teaches,Satisfaction,None,Null,None,Null,
Enhance Teaching methods,Acceptance,Teaching methods and a good adviser,Satisfaction,none,Null,None,Null,
N/A,Null,teach tricks and make the lesson understandable for everyone,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,Make things understandable and easy,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,MAKE THE CLASS FUN AND ENJOYING WHILE STILL LEARNING SOMETHING,Joy,N/A,Null,N/A,Null,
N/A,Null,MAKE THINGS EASY TO LEARN AND DO HIS BEST TO MAKE THE STUDENT LEARN THE TOPIC,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,THE INSTRUCTOR TRYING HIS BEST TO MAKE THE STUDENT LEARN THE SUBJECT,Satisfaction,N/A,Null,N/A,Null,
N/A,Null,INSTRUCTOR DOING HIS BEST TO MAKE THE STUDENT UNDERSTAND THE TOPIC,Satisfaction,N/A,Null,"N/A
",Null,
Improve teaching methods,Acceptance,The way on how he interacts with students during class,Joy,None,Null,None,Null,
Improve teaching methods,Acceptance,The way he teaches us positively and the way he teaches us,Joy,None,Null,None,Null,
None,Null,I like the professor straightforward teaching,Satisfaction,none,Null,none,Null,
nothing,Null,"clear voice, can explain well = easy learning",Satisfaction,"Sometimes, the atmosphere in class feels tense, and it seems like the instructor might be in a bad mood. This makes some of us feel hesitant or afraid to ask questions or participate.",Disappointment,none,Null,
None,Null,"i like the way sir teaches us, and won't move to the next topic if some are behind",Satisfaction,none,Null,none,Null,
none,Null,he teaches us the way we can easily understand,Satisfaction,none,Null,none,Null,
None,Null,he teaches us this course the way we can easily understand,Satisfaction,none,Null,none,Null,
nothing,Null,"attentive, very good at explaining",Satisfaction,nothing,Null,best teacher,Satisfaction,
none,Null,i like the way he teaches us this course the way we can easily understand,Satisfaction,none,Null,none,Null,
none,Null,i like the way ma'am uses relatable example for us to understand the topic,Satisfaction,none,Null,none,Null,
None,Null,Explains the lesson in a very detailed way,Satisfaction,None,Null,None,Null,
"Since this class is only for the lab and another instructor handles the lecture, I think it would really help if there was better coordination between the two, so we can better understand the lessons and apply them in the lab.",Acceptance,"Bonus questions, for us to pass the exam/quiz/activities.",Joy,"I find it difficult when we have sudden quizzes or lab activities that don’t clearly connect to the lecture topics. It would be better if the lab tasks were more aligned with what we’re currently studying in lecture, and if we were given enough time to prepare.",Disappointment,good teacher!,Satisfaction,
Nothing. All perfect,Satisfaction,Prayers before and after class,Irrelevant,None,Null,None,Null,
None,Null,Introduces us the easiest way of creating a website like using bootstrap,Satisfaction,None,Null,None,Null,
None,Null,Making us to create an advanced java system using the fundamentals of OOP,Acceptance,None,Null,None,Null,
nothing,Null,i learned figma & designing.,Satisfaction,"During discussions, the instructor often calls on students to answer questions and doesn't allow them to sit until they get the correct answer. This creates pressure and discomfort, and it takes away from focusing on the lesson itself. I think it would be better to keep the discussion going rather than putting students on the spot like that.",Disappointment,nothing,Null,
to improve his teaching skills so that the student wouldn’t feel bored in his class hours,Boredom,none,Null,none,Null,none,Null,
none,Null,focused on teaching content well,Satisfaction,none,Null,none,Null,
Nothing,Null,"Ohh I like it when he said that if we can't understand the lesson, we can ask him and he will repeat the explanation of that particular lesson",Joy,He doesn't have like games or some engaging activities for us to enjoy the subject.,Boredom,None,Null,
none,Null,he can be fun and serious at times,Joy,none,Null,none,Null,
"I recommend that the instructor slow down a bit and explain the code step-by-step, especially the functions, so we can understand better and apply it on our own.",Acceptance,gives more source of learning,Satisfaction,"Before quizzes or exams, we usually don’t get any pointers or study guides, which makes it hard to know what to focus on. Having clear pointers would really help us review more effectively and feel more prepared.",Disappointment,good,Satisfaction,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
"The lessons sometimes feel too advanced or fast-paced, which makes it hard to keep up. It would help if the topics were broken down more slowly and explained step-by-step.",Disappointment,always attends class and gives consideration.,Satisfaction,"The activities, quizzes, and exams are often too difficult and don’t always match the level of what was taught. It would be better if the assessments were more aligned with the lessons and discussed examples, so we can apply what we’ve actually learned.",Disappointment,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,He gives plenty of examples to make us understand the lesson better.,Satisfaction,None,Null,None,Null,
"I think the topic should be taught in the lecture first before doing it in the lab, because sometimes the lab activities aren’t covered in the lecture yet, which makes it harder for us during the lab.",Acceptance,He help us improve our logical thinking by giving us challenging activities,Satisfaction,The activities are too challenging,Disappointment,None,Null,
A thorough discussions of each topic,Acceptance,Hands on Activities,Satisfaction,N/A,Null,N/A,Null,
It would be helpful if the instructor slowed down a bit so the student could keep up.,Acceptance,The instructor explains the functions of the code really well,Satisfaction,"The instructor sometimes discussed the lesson a bit too fast during the lab, so it was hard for us to follow while typing",Disappointment,None,Null,
"i don't have any recommendation to improve this course, because i have a good experience in this course.",Satisfaction,"The things i liked about the instructor's teaching is that he is very open to us, really responds to any questions and shares his experiences and it motivates me as well.",Joy,Nothing.,Null,None,Null,
none,Null,fun,Joy,always wala,Disappointment,none,Null,
none,Null,none,Null,fast,Disappointment,none,Null,
none,Null,none,Null,none,Null,none,Null,
"None, because [PROFESSORS] teaching is already great.",Satisfaction,The way she explains the topic clearly and asked the students if they get the lesson or not.,Satisfaction,Nothing,Null,"None, overall my experience with this subject is great and stressful at the same time.",Joy,
More creative teaching strategies,Acceptance,Explained very well,Satisfaction,Did not really dwell on group works that much,Disappointment,None,Null,
n/a,Null,all,Satisfaction,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,all,Disappointment,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
None,Null,She's strict when it comes to midterm/final exam,Acceptance,None,Null,Nothing more,Null,
Improve learning curve,Acceptance,sending PPT for studies,Satisfaction,None,Null,None,Null,
None,Null,The instructor explained the lessons clearly and he made sure everyone able to understand,Satisfaction,None,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
Nothing,Null,Sir [PROFESSOR] is funny at the same time an instructor you can get along with,Joy,I have no comment,Null,None,Null,
None,Null,Good at teaching and adapts teaching that benefits many,Satisfaction,None,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
more resource availability for students,Acceptance,clear speech,Satisfaction,overloaded information,Disappointment,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
Nothing else,Null,I like how enthusiastic sir is and phenomenal in teaching his subject,Joy,None,Null,No more else,Null,
Active engagement on students,Acceptance,Not giving too much quiz,Acceptance,Too much activity,Disappointment,None,Null,
None,Null,Complex activities,Acceptance,None,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
Nothing,Null,Nothing,Null,Nithing,Null,Nothing,Null,
Engagement to the claws,Irrelevant,Not giving too much quiz,Acceptance,Too much activity,Disappointment,None,Null,
slower speech,Acceptance,demonstration,Satisfaction,time management,Disappointment,none,Null,
n/a,Null,n/a,Null,n/a,Null,n/,Null,
None,Null,None,Null,None,Null,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
"Nothing, sir is the G.O.A.T (Greatest Of All Time)",Joy,"Sir is strict in time so, there's a thrill when you come late",Select---,None,Null,No more further comments,Null,
None,Null,Sends presentation for info and helps correct mistakes of code,Satisfaction,None,Null,None,Null,
Explain clearly,Acceptance,Nothing,Null,Explanation not understandable,Disappointment,None,Null,
n/a,Null,n/a,Null,n/a,Null,n/a,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Good presentation of information and teaching,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
clear speech,Acceptance,demeanor,Irrelevant,none,Null,none,Null,
None,Null,"I like how Ma'am enjoys how her teaching goes, but why me INC Ma'am huhu. I did my best huhu",Disappointment,Nothing,Null,No comments,Null,
focus on coding,Acceptance,he is well determine to teach us,Satisfaction,none,Null,none,Null,
"Actually discuss the lessons, wag puro pareport sa students",Disappointment,Nothing,Null,Nothing,Null,Nothing,Null,
"Activities should not just be about explaining each line of code. Instead, there should be other ways to make this course engaging and fun so that students will have the courage to study. In discussions, it shouldn't just be -mostly- reading in front, there should also be a way to better understand the topic, especially it's difficult for beginners.",Boredom,Kind,Joy,Explanation activities,Disappointment,"In some cases, there's no notice on the final grades if ever there is something that needs to be clarified or what.",Disappointment,
meet the class regularly so that the all lessons in syllabus will be discussed clearly,Acceptance,The instructor disciplined us in a way that helped us learn both the course content and proper behavior. He also encouraged us to be independent in programming and to learn on our own.,Satisfaction,"not meeting us regularly i mean he meets us to teach but not that regularly. but i guess it is his way for us to learn on our own. and based on my observation in my  improvements in programming, i think it's effective.",Acceptance,The instructor made me realize the importance of being careful and managing our behavior.,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Na,Null,Giving activities,Satisfaction,Na,Null,Na,Null,
None,Null,Achievable activities connected with the teaching and good presentation of information of the course,Satisfaction,None,Null,None,Null,
learn all about app development,Acceptance,dedication to work,Satisfaction,none,Null,none,Null,
None,Null,Giving suggestions on how to improve our website,Satisfaction,None,Null,None,Null,
N/A,Null,Different fun engaging activities,Joy,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
Nothing,Null,Explains very well and always making sure everyone keeps up.,Satisfaction,Announcements are often late.,Disappointment,I hope that announcements will be announce much earlier because usually he arrives late but will announce it also late.,Disappointment,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
"None
",Null,None,Null,None,Null,None,Null,
Nothing else,Null,I like how calmly sir handle the class and at the same time optimistic,Satisfaction,None,Null,No more further comments,Null,
"None
",Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
Nothing,Null,Teaches and explain well,Satisfaction,Notbing,Null,None,Null,
"Teach the course, not read the ppts, we can do that too",Disappointment,none,Null,"reading everything, explains little and moves on",Disappointment,none,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Nothing,Null,
Na,Null,Giving learning materials,Satisfaction,Na,Null,Na,Null,
none,Null,ga give more options para more opportunities,Joy,none,Null,none,Null,
None,Null,He gives options to student,Satisfaction,None,Null,None,Null,
None,Null,Good at teaching,Satisfaction,None,Null,None,Null,
N/A,Null,"He's very approachable, when you have question then you can just approach him or chat in the gc and he will reply accordingly.",Joy,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
NA,Null,Yes,Irrelevant,None,Null,NA,Null,
None,Null,Attentiveness and eager to teach,Satisfaction,None,Null,None,Null,
More study material,Acceptance,Knowledgeable,Satisfaction,None,Null,None,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Nothing,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Explains well and helps the students debug if there's an error,Satisfaction,None,Null,Please early announcement if hindi magmeet🙏,Disappointment,
Nothing since the course was able to teach the important topics well.,Satisfaction,The instructor was good at teaching and helps students as much as they can.,Joy,None.,Null,None.,Null,
Nothing on mind,Null,They were consistent and always had time for students,Satisfaction,N/A,Null,N/A,Null,
NA,Null,Yes,Irrelevant,None,Null,NA,Null,
"None
",Null,None,Null,None,Null,None,Null,
none,Null,none,Null,none,Null,none,Null,
None so far,Null,Engaging and helping students,Joy,There is none,Null,I have none,Null,
Nothing,Null,Nothing,Null,Nothing,Null,Nothing,Null,
NONE,Null,GOOD AT TEACHING,Satisfaction,NONE,Null,NONE,Null,
N/A,Null,Fun and informative,Joy,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
Na,Null,Teaching Style,Satisfaction,Na,Null,Na,Null,
"None
",Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Made if fun by doing activities / games that has points,Joy,None,Null,Early announcement 🙏,Disappointment,
NONE,Null,GOOD AT TEACHING,Satisfaction,NONE,Null,NONE,Null,
Na,Null,Knowledge in Course subject,Satisfaction,Na,Null,Na,Null,
I suggest pacing the lessons more evenly to avoid information overload. Providing optional review sessions or tutorials could also help reinforce difficult topics.,Acceptance,"I appreciate how the instructor arrives to class on time and incorporates more group activities. She also teaches in a detailed and proper manner, consistently asking us to include URLs as references in our answers, which aligns with the course's emphasis on ethical work.",Joy,"What I liked least in our instructor's teaching is that she can be unpredictable at times, especially with the punishments given to those who are not paying attention—it can feel quite sudden or shocking. However, I understand that it’s meant to help us improve our behavior and discipline as part of the learning process. Additionally, there are moments when her instructions are not immediately clear, which can cause some confusion during activities.",Acceptance,I understand that her approach is meant to shape our discipline and encourage us to think independently.,Acceptance,
"rather than focusing mostly on student reporting and minimal instruction, it would really help if more time was dedicated to actual teaching",Disappointment,none,Null,reportings,Disappointment,none,Null,
