School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,The heavy project made this a great course. I have learned the most here but I wish it was more of a web programming course than a database course,Disappointment,,,,,,None. The lectures felt lifeless.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Not attentive,Disappointment,,,,,,"I was hoping for consistent updates, but instead we were left guessing about requirements.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Improve the teaching style,Disappointment,,,,,,I didn’t find anything worth liking.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Maybe the Lack of clear explanation about the topics and solely relying on other materials,Disappointment,,,,,,The inconsistency in teaching and attendance was really disappointing.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Improve teaching,Disappointment,,,,,,The best part was when class time was shortened.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Lack of engagement and availability to the class.,Disappointment,,,,,,"The professor often seemed unprepared, which reflected poorly on the lessons.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,a bit of on hand learnin,Disappointment,,,,,,None. The explanations lacked clarity.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,The inaudible when teaching,Disappointment,,,,,,I was discouraged when the professor’s tone felt dismissive of students’ concerns.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,time,Disappointment,,,,,,Nothing. The teaching didn’t engage me.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,The inaudible when teaching,Disappointment,,,,,,The subject felt heavier than it should have because of unclear instructions.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,"One recommendation to improve this course would be to include more interactive elements such as group discussions or collaborative projects. This would give students an opportunity to apply what they’ve learned in a more hands-on way, fostering deeper engagement.",Disappointment,,,,,,"I liked that there was order, but it didn’t help with comprehension.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,sometimes instructions are not clear,Disappointment,,,,,,It’s sad that many of us had to self-study because the teaching was lacking.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Providing a more detailed course outline with specific learning objectives for each week or topic could help students better understand the goals of the course and stay organized.,Disappointment,,,,,,Nothing at all. The lessons weren’t meaningful.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,Super early,Disappointment,,,,,,The way activities were handled felt unfair and disorganized.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Providing a more detailed course outline with specific learning objectives for each week or topic could help students better understand the goals of the course and stay organized.,Disappointment,,,,,,None. The teacher wasn’t effective in communicating.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,Need previous knowledge to understand,Disappointment,,,,,,I was disappointed when our efforts didn’t feel appreciated or acknowledged.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Bit more explanation in understanding rather than the text book definition,Disappointment,,,,,,"Honestly, nothing was worth appreciating.",Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,how she is seldomly available,Disappointment,,,,,,The lessons felt repetitive without adding real understanding.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,I hope there will be more learning resources that we can use,Disappointment,,,,,,Nothing. The approach wasn’t useful.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,few f2f class,Disappointment,,,,,,"I had high hopes for this class, but it turned out to be frustrating instead.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,None at all. I just hope [PROFESSOR] will come in on time more often.,Disappointment,,,,,,None. The subject felt neglected.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Rarely attend classes,Disappointment,,,,,,The professor’s lack of enthusiasm made it hard to stay engaged.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,I just hope [PROFESSOR] will provide us more ideas or scenarios which we can apply our learnings.,Disappointment,,,,,,I didn’t find anything I liked in the teaching style.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,sometimes she goes missing,Disappointment,,,,,,"I was hoping for more professionalism, but instead I often felt let down.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,Ensuring that all instructions for assignments or projects are clear and detailed can help students understand expectations better.,Disappointment,,,,,,Nothing. The instructor failed to explain lessons.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,they seldom meet and only teaches designing not the actual coding,Disappointment,,,,,,It’s disheartening to see students’ efforts wasted because of unclear grading.,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"I believe [PROFESSOR] informed us about the contents of the course syllabus for this subject. However, it would be nice if we were given a copy of it so that we can be more prepared.",Disappointment,,,,,,None. It was a disappointing experience overall.,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,"No feedback and lack of given information for the projects, late submission of requirements for activities and poor decision making.",Disappointment,,,,,,"Overall, the lack of commitment from the professor made the subject disappointing.",Disappointment
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"nothing, he is good with teaching.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,How our instructor answer all the question that were asked by the students,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"I wish the instructor would elaborate more on coding implementations, rather than solely covering theoretical concepts.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Overall [PROFESSOR] is a great instructor,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"It would be better if we could have some feedback on the assignments and the files we send, to check how we fare in the subject. But overall, the course is good.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,It shows that he has a full knowledge or mastery of what he is teaching,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I cannot think of anything least about this instructor. If he'll handle our section again, by any chance. Then, I'll be glad.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",Overall [PROFESSOR] is a great instructor,Satisfaction
2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,"Professional Issues in
Computing",No change is the best,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,she explains it well and recalls previous lessons in a manner that doesn't scare me,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,Very hands on,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","Overall, I am very satisfied with the course and the instructor's teaching. The lessons are well-structured, engaging, and can be applied and used for future purposes. I appreciate the effort put into making the topics relatable and practical. Keep up the excellent work, [PROFESSOR]!",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","Nothing, the course is perfect for student to understand Social issues and professional practice",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",Interaction with students and freedom to choose what is able to do,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,None it was good,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,thats all,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"Nothing, [PROFESSOR] is already perfect",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,The way she was teaching which helps the students to listen and observe the contents of the topics well,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"none, she's good",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Keep up the good work sir!!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"None, the instructor taught us well.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,The instructor allows us to explore on our own,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,Discusses things quite well and clear yet fast at the same time.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"I truly appreciate the effort and dedication of Sir Rham. However, I feel the learning experience could be better if more time was devoted to explaining complex topics in greater depth and not try to water it down by speeding through the process and missing a lot of important concepts along the way. This would help ensure that all key concepts are thoroughly covered, as the course content itself is already challenging and demands considerable effort on our part to grasp. The instructor's patience and detailed guidance during these discussions would be greatly valued.

Additionally, we would also appreciate timely announcements when unable to attend class, as it helps us stay productive with our time. On that note, establishing clear, concise communication would be great. Hopefully, future projects will have better-structured project guidelines, it would significantly contribute to a smoother learning experience.

I appreciate [PROFESSOR] capabilities and thankful for the continued efforts, I hope this feedback helps foster an even more effective teaching and learning environment. ",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",The course is good,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,Approachable,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,"Nothing, the standard is met and exceeded.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"None, very goods ",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",N/A - I find the course to be well-designed and effective as it is. No changes are necessary.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Hands on activity,Satisfaction,2024-2025,2nd Semester,Associate in Computer Technology Major in Application Development,CC 105,"Application Development and 
Emerging Technologies",Nothing cause i like it all,Satisfaction,2024-2025,1st Semester,Associate in Computer Technology Major in Application Development,ACT 213,"Professional Issues in
Computing",Thank you,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","I am satisfied with [PROFESSOR], teachings and i am happy with it.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Giving us some activities related to what he is teaching,Satisfaction,,,,,,"Honestly, I can’t really find anything to dislike—it all worked well for me.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,That's itt,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies","the course itself is perfect for myself since i am still learning, for me if i have to improve something it would be myself to participate in the course",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Approachable,Satisfaction,,,,,,"If I had to say something, maybe the lessons ended too quickly because I enjoyed them.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"Nothing, it was all perfect.",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"None, I feel very satisfied with this course. ",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,Questions before going to the next topic,Satisfaction,,,,,,Nothing comes to mind; everything felt balanced and effective.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 211,IT Elective 1,[PROFESSOR] teach is an excellent prof..since I was first year and she was our prof for HCI 1 and 2...I can say that she was an excellent prof...,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice","None, everything is in line, fine.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Approachable,Satisfaction,,,,,,The only downside was that I always wanted more time to learn from him.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,"The teaching method is good, and the class schedule is always followed by the teacher which lessens the possibility of having miscommunication on whether to meet for a class or not.",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 211,IT Elective 1,No changes at all...the way Prof. Aida teaches is excellent,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,interactive classes during laboratories,Satisfaction,,,,,,It’s hard to think of a “least” because everything was clear and helpful.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,best instructor CCS has to offer for his very simplified way of teaching,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I enjoyed attending this course. Therefore, there are no changes for me to recommend.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,"Approachable, chill and good teaching",Satisfaction,,,,,,Perhaps the only issue is that class went by too fast.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,simple and straightforward instructor,Satisfaction
,,,,,no changes,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Interactive teaching.,Satisfaction,,,,,,I didn’t really dislike anything—it was all handled very well.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,chill and professional instructor,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,"Nothing, [PROFESSOR] would do everything for us to catch up.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Very professional,Satisfaction,,,,,,Nothing stands out negatively; teaching style was excellent.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,None perfect the way he is,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"Nothing, it's ok.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Hands on activities,Satisfaction,,,,,,"If I had to choose, maybe the lectures were so engaging that breaks felt too short.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,The instructor went his way to provide as a great learning experience compared to other instructors. I appreciate the effort.,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,Good course,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Being calm and attentive.,Satisfaction,,,,,,No complaints—the teaching exceeded expectations.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100 ,Introduction to Computing,"Keep it up, [PROFESSOR]!",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100 ,Introduction to Computing,Nothing. All Perfect,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,approachable,Satisfaction,,,,,,"Honestly, nothing at all—I appreciated the way everything was taught.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Very creative in teaching,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100 ,Introduction to Computing,"None, because our teacher teaches us in a very nice way",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Gives proper instructions and guide students on their projects or assignment and listens to students concerns,Satisfaction,,,,,,Sometimes I wished the discussions would continue longer.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Hope we have a fun and enjoyable 2nd semester!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,It's quite good as it is,Satisfaction,,,,,,cant really say I have one,Acceptance,,,,,,"There isn’t really a “least liked” part, since I liked the approach overall.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,Hope we have another fun and interactive class this 2nd sem sir!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,The course is good already,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Engaging,Satisfaction,,,,,,"Nothing I can think of, it was a very positive experience.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Keep up the good work,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,There's nothing to improve since the course is great,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"We practice making,solving and how to implement an entity and attributes.",Satisfaction,,,,,,I suppose the only “downside” is that I didn’t want the course to end.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Thank you,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Overall the course is good,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,confident,Satisfaction,,,,,,No negatives here—the clarity was consistent throughout.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Keep up the good work sir,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"For me, there's is no changes needed because it is [PROFESSOR] that makes the students improved more.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,engaging,Satisfaction,,,,,,"It’s difficult to say, because all aspects were handled well.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,Good.,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 132,Software Engineering 2,None. Satisfied,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Helped me to gain more knowledge in terms of technoprenuer,Satisfaction,,,,,,"If anything, the sessions felt too short because I was interested.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,Stay chill sir,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"tbh, there's nothing he's just good at teaching",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Style of teaching,Satisfaction,,,,,,"Nothing really stood out as least liked, everything was fine.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,The startup mentoring is very good experience for us,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","None [PROFESSOR] is the best at teaching this subjert, he teaches and demonstrate the subject very well",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,"I like how ma'am is very chill, strict, and organized all the time.",Satisfaction,,,,,,The only thing is that sometimes I wanted more examples because they were so helpful.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies",Good overall,Satisfaction
,,,,,None the teacher did their job as intended.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Friendly and approachable,Satisfaction,,,,,,I honestly can’t think of a weak point in the teaching.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,He is the goat,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"nothing, he does good in explaining ",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Teaching style,Satisfaction,,,,,,Nothing major—everything was organized and clear.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,"All in all, I love the lessons",Satisfaction
,,,,,its good as it is for now,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,The demonstration,Satisfaction,,,,,,"If I had to choose, maybe I just wanted more practice time.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 111,Discrete Structures 1,Thanks for giving me the best and easiest time during this lec.,Satisfaction
,,,,,nothing its good as of now,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,"The way of his style of teaching, make students feel comfortable with the subject",Satisfaction,,,,,,There isn’t anything I’d point out as least liked.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100 ,Introduction to Computing,im satisfied,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,none it's perfect,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,She teaches topics very briefly,Satisfaction,,,,,,Everything was explained well—I can’t say anything bad.,Satisfaction,,,,,,Napakagaling ni [PROFESSOR]!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",No I think the current one is already best to improve this course,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,He gives enough information about the topics,Satisfaction,,,,,,Perhaps the pace was too smooth; I never felt challenged in a negative way.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,The instructor's ability to breakdown difficult topics into simple examples was invaluable.,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Nothing much to improve since it provides students necessary knowledge about the course.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",He makes the lessons very clear,Satisfaction,,,,,,I didn’t find any part of the teaching style unhelpful.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","Keep up the good teaching practice, sir.",Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Nothing at all keep up the good work,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies","Giving students the ability to learn new things, especially the group presentation and their own programming assigned language.",Satisfaction,,,,,,The only downside was how quickly time passed during class.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,All good! I enjoyed learning with Sir [PROFESSOR]!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 213,"Social and Professional
Practice",Nothing I'm satisfied,Satisfaction,2024-2025,1st Semester,Associate in Computer Technology Major in Application Development,ACT 213,"Professional Issues in
Computing",Making a case analysis,Satisfaction,,,,,,I can’t complain—the instructor’s methods worked perfectly.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,All good!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"none, the teaching methods are great and very clear. pogi mo sir",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,The way of teaching,Satisfaction,,,,,,Nothing at all—it was all very effective.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,All good!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","none, the teaching method is exquisite and very formal and accommodating to the students learning abilities",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,gives their ppt after classes,Satisfaction,,,,,,Maybe the only challenge was that I wanted more in-depth discussions.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,All good!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,"Application Development and 
Emerging Technologies","nothing, overall great teaching ",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,Good teacher,Satisfaction,,,,,,"Honestly, I don’t think there’s a least liked part.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,All good!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Nothing it's great,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,her way of teaching,Satisfaction,,,,,,"Everything was consistent, so I don’t have a negative point.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",All good!,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,None it's good the way it is,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,Delivery of lessons,Satisfaction,,,,,,"If I had to mention something, maybe I wished for even more interaction.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Overall [PROFESSOR] is a great instructor,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile Application Development,None it was good,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,professional on teaching and give best explanation,Satisfaction,,,,,,There wasn’t really anything I disliked.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Good job,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",None it was a good class,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,The teaching style,Satisfaction,,,,,,The lessons were so smooth that I can’t think of a flaw.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,Sir you did a great job to deliver the hardest subject that I encounter in my whole life of being a student.,Satisfaction
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",NONE THIS PERFECT,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Giving meaningful and informative handouts,Satisfaction,,,,,,Nothing really—everything was easy to follow.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,Overall sir [PROFESSOR] is a great instructor,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,Everything good and great,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,The mastery he displays in his craft,Satisfaction,,,,,,The only thing is that sometimes I wished the topics went deeper.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"he is always attentive and supportive, making sure students understand the lessons thoroughly. His dedication to teaching and consistency in attending classes are truly commendable. We appreciate his efforts and patience in helping us succeed.""",Satisfaction
